Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;15;-361,039840769768;0;0;12;425,0621;False
2;15;-437,014588689804;0;0;12;425,0621;False
3;15;-657,023109817505;0;0;12;425,0621;False
4;716,838684082031;-599,455366897583;32,02264;11,80688;13;365,4014;False
5;693,472534179688;-870,715522766113;33,37933;11,55117;13;365,4014;False
6;3526,033203125;-561,731588745117;66,85061;20,06176;12;375,47;False
7;2301,7109375;-494,79875831604;51,25426;17,05544;12;375,47;False
8;2899,51123046875;-453,121388244629;64,72007;17,04046;12;375,47;False
