Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;15464;5130,8;22,54266;9,082857;12;315,0176;False
2;222962;27772,8;60,26021;17,50923;14;312,2365;False
3;143833;33121,5;51,89917;12,18117;12;315,4545;False
4;307734;36857,35;66,89702;14,04638;14;247,2507;False
5;837367;95224,35;94,12434;21,17212;12;332,2858;False
6;833496;110435,85;93,96971;13,05251;12;331,9842;False
7;669322;111812,25;87,32339;26,06469;12;331,9842;False
8;570578;105721,85;82,76868;14,50128;12;332,2858;False
9;317302;105219,05;67,9537;13,36156;12;332,2858;False
10;842258;162612;94,30744;20,04146;12;332,2238;False
11;518562;67582,15;80,16035;18,35539;12;332,2858;False
12;843920;203753,8;94,36977;20,05043;12;332,2974;False
13;486492;149999,9;78,45825;16,7119;12;331,1592;False
14;797784;104467,3;92,60664;17,03052;12;330,7011;False
15;914761;96545,1;96,94862;22,75473;12;330,2158;False
16;573269;193416,15;82,89578;16,32956;11;328,5333;False
17;920703;156250,6;97,16039;20,2168;12;332,495;False
18;427034;113173,8;75,09903;17,01855;12;332,0309;False
19;588304;156836,65;83,62929;16,4025;12;335,7109;False
20;832146;176243,75;93,92999;18,5043;12;335,6096;False
21;494278;104266,75;78,88206;19,46988;11;332,9174;False
22;395690;98962,95;73,19321;14,21036;13;330,4047;False
23;272349;84616,2;64,54982;17,034;11;334,2909;False
24;737651;142751,8;90,21696;22,20438;11;335,5156;False
25;555414;155770,45;82,03078;23,03857;10;332,9405;False
26;857336;180027,4;94,86281;21,76373;12;326,2586;False
27;571998;189024,4;82,84379;17,87012;12;334,1518;False
28;1328657;230933,2;109,8317;16,55884;12;328,8395;False
29;826556;158904,05;93,71149;20,69379;12;328,7854;False
30;841194;247610,3;94,26604;25,92303;10;329,4148;False
