Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;45,2815093994141;35,2169815063477;6,190271;4,413631;11;242,9248;False
2;47,8860168457031;37,8405794143677;14,243;5,213013;14;292,3609;False
3;48,4937858581543;38,8384550094604;0,9171708;4,993694;11;226,8332;False
4;51,4898071289063;40,8178769111633;16,64558;6,176636;11;213,6345;False
5;53,7301368713379;43,4392963409424;0;0;12;223,3383;False
6;55,505443572998;45,8728216171265;0,1710827;0,2135544;14;252,2275;False
7;55,505443572998;43,4343837738037;0,1711495;0,2181244;14;252,2275;False
8;55,505443572998;47,4640508651733;0,1711514;0,2185974;14;252,2275;False
9;55,8867073059082;50,7206541061401;0,1861846;0,2176666;14;250,5068;False
10;56,6204948425293;50,3836977005005;39,32116;15,01465;13;229,5988;False
11;56,7889671325684;50,2787828445435;23,43847;7,67337;12;211,3087;False
12;56,8030128479004;50,1066957473755;3,007309;2,206345;14;246,4658;False
13;58,3037185668945;51,0994140625;6,894807;5,016754;13;222,9703;False
14;65,8174896240234;51,7768291473389;23,04199;7,203705;14;212,7094;False
15;65,8174896240234;53,3836111068726;22,88204;6,994904;14;212,7094;False
16;65,8174896240234;54,0215442657471;22,88326;6,973236;14;212,7094;False
17;66,1389999389648;55,4712814331055;32,15527;11,082;14;211,6754;False
18;66,1389999389648;55,5354671478271;22,86408;7,197144;14;211,6754;False
19;66,1389999389648;53,7963424682617;22,89451;7,213806;14;211,6754;False
20;66,3409194946289;55,6894271850586;23,06257;8,434875;14;211,0311;False
21;66,4718780517578;55,6944658279419;11,01814;3,745422;14;210,6154;False
22;66,4718780517578;56,6377506256104;10,80575;3,779358;14;210,6154;False
23;66,4718780517578;55,0532110214233;10,72322;3,655914;14;210,6154;False
24;66,742561340332;59,0270385742188;19,08683;7,4245;14;209,7612;False
25;66,742561340332;59,7875951766968;19,12459;7,140656;14;209,7612;False
26;66,742561340332;62,1209623336792;18,96593;6,768677;14;209,7612;False
27;66,742561340332;62,8731443405151;18,96297;6,760681;14;209,7612;False
28;66,742561340332;63,4659112930298;18,96299;6,775757;14;209,7612;False
29;67,0307693481445;61,6825222015381;19,61516;8,021179;14;208,8593;False
30;67,0496978759766;62,6882648468018;14,89339;6,242615;14;208,8004;False
