Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;2,66857794253095E+17;2,93312025394342E+16;64,38133;9,69333;10;283,3579;False
2;4,55918681210225E+17;1,03361625665516E+17;76,96545;12,24181;14;346,7183;False
3;2,61974914653749E+17;8,96551363981345E+16;63,98624;17,2866;10;298,5201;False
4;2,59790133509751E+17;5,46914945975976E+16;63,80787;9,18399;14;346,5397;False
5;4,8449357966685E+17;8,45620497416564E+16;78,54092;18,40404;14;345,9967;False
6;1,39428052470019E+18;1,92941077223912E+17;111,7163;17,26314;12;303,6874;False
7;4,60703893253259E+17;1,12168421494568E+17;77,23378;20,05826;14;347,0995;False
8;9,04894839844241E+17;1,47904832081437E+17;96,72366;14,19156;14;343,5186;False
9;7,89624445969891E+17;1,55953125132757E+17;92,4287;14,27167;14;343,5186;False
10;1,25151333787999E+18;3,61323187391798E+17;107,7652;18,14426;14;344,3855;False
11;1,92503114266313E+18;2,96124055606945E+17;124,3978;22,13754;13;345,3073;False
12;8,99057601331855E+17;2,83944407446376E+17;96,51523;19,47491;14;344,0927;False
13;1,96946240754156E+18;4,72042580151684E+17;125,3476;22,23215;14;343,3846;False
14;1,04736687651186E+18;3,62782898330901E+17;101,5546;21,42545;14;344,8632;False
15;8,93583751412449E+17;1,60616271904244E+17;96,31895;13,31757;14;345,8812;False
16;1,00534635959681E+18;1,78971838171316E+17;100,1779;17,40533;14;346,2163;False
17;2,84927219883573E+17;9,91518252755009E+16;65,80284;14,41052;14;346,2163;False
18;5,0891277084708E+17;1,34619113052963E+17;79,83888;12,28815;14;346,2163;False
19;1,28690950339612E+18;2,18101685140704E+17;108,7717;17,51801;14;346,1652;False
20;8,29280256970981E+17;1,97351958434231E+17;93,95079;14,23419;14;343,9706;False
21;6,07220964479992E+17;1,66972006715307E+17;84,68027;14,22296;14;346,7288;False
22;8,40700403212354E+17;1,82303700775495E+17;94,3801;24,98755;14;344,918;False
23;5,75459543887118E+17;1,59493062348977E+17;83,17732;13,23566;14;346,3984;False
