Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;7821;3625,7;34,91968;6,232902;11;268,0408;False
2;9028;4861,3;49,67016;10,94907;11;268,0408;False
3;8946;5769,65;14,82247;8,023293;11;242,8896;False
4;8934;5814,4;14,40293;8,018314;11;242,8896;False
5;12844;6957,75;50,52157;9,161327;12;230,7718;False
6;12658;7514,7;66,69421;13,82065;10;248,7654;False
7;17366;9521;79,78745;15,25751;11;225,6274;False
8;18476;9588,3;79,77712;13,57645;12;218,7012;False
9;19654;11747,35;51,66702;9,87059;11;194,9205;False
10;23008;12593,1;52,45016;8,867447;12;183,8719;False
11;21549;14375;36,64265;6,871048;12;183,8719;False
12;24907;14549,45;58,43444;14,0728;12;179,9936;False
13;23243;16570,95;52,65535;10,67429;12;183,049;False
14;24411;18680,95;64,75809;10,09529;13;184,1372;False
15;27134;20714,2;69,87862;12,39284;12;178,1456;False
16;32007;22799,5;97,10725;11,86249;12;178,0427;False
17;34825;23380,45;110,7134;13,77936;12;178,0427;False
18;28983;22644,45;83,16825;20,05939;12;178,4233;False
19;31840;23380,55;96,06841;11,3291;12;178,0698;False
20;29941;23171,05;80,62215;12,49484;12;175,2371;False
21;28003;22928,6;68,69663;17,04871;12;175,2371;False
22;30205;23808,8;82,93922;17,11319;12;175,2316;False
23;29023;24100,95;66,54886;12,41888;12;172,2128;False
24;40283;26263,05;126,9867;26,04266;12;173,2066;False
25;33626;25408,05;96,10404;12,81055;12;173,2066;False
26;36916;24672,2;112,366;17,1882;12;173,2066;False
27;33472;26005;98,29259;20,16345;12;174,04;False
28;39466;27442,75;125,328;15,79584;12;174,9485;False
29;33427;25178;96,12467;19,99902;12;173,1161;False
30;32881;25433,55;97,14727;17,91632;12;175,0363;False
