Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1,41281909819834E+17;2,39528668950654E+16;52,08294;14,16309;13;363,2332;False
2;2,55452835016081E+17;3,84403144140915E+16;63,45077;15,59181;14;352,9568;False
3;1,47366976535134E+17;5,55195780204804E+16;52,8202;8,773342;14;352,8762;False
4;7,63058389616951E+17;1,1102888801205E+17;91,3803;14,83791;14;352,8762;False
5;7,56905110231056E+17;1,22274659043587E+17;91,13401;21;14;353,0271;False
6;7,96044150767092E+17;1,57358406321255E+17;92,67851;15,76169;14;352,9748;False
7;7,65230062520762E+17;1,3728414959749E+17;91,46691;18;14;350,2013;False
8;3,28297301422375E+17;8,74611591075594E+16;68,98518;15,81511;14;347,5817;False
9;7,6289882299197E+17;2,22521288568078E+17;91,37393;14,83197;14;353,1961;False
10;1,18789133448931E+18;1,51421161111028E+17;105,9072;20,76428;14;351,5521;False
11;1,18748204128587E+18;2,34184608168123E+17;105,8951;25,7662;14;349,9177;False
12;7,55941938045125E+17;2,60837246537145E+17;91,09534;20,84845;14;352,8788;False
13;2,22663900191208E+18;1,98138799286177E+17;130,582;18,73431;14;353,3962;False
14;8,87479331574514E+17;2,19421054659147E+17;96,09912;16;14;351,026;False
15;2,09514483293356E+18;3,55541663634738E+17;127,9592;21,76462;14;348,8594;False
16;1,19575394213954E+18;2,14983081793159E+17;106,1404;21,80988;14;348,8587;False
17;7,73073841034363E+17;2,91803125497043E+17;91,77837;16,94739;14;348,8594;False
18;5,12148448025038E+18;6,29040835872209E+17;172,3714;18;14;349,7259;False
19;7,94601866389357E+17;2,14081916764789E+17;92,62251;23,7829;14;348,1869;False
20;6,2567798513913E+17;1,74493591631875E+17;85,5297;13,72449;14;349,9562;False
21;1,04445131527238E+18;2,28088806396396E+17;101,4603;20,76758;13;346,6032;False
22;5,46651102288806E+17;1,5917021539095E+17;81,7655;12,78857;14;346,1965;False
23;7,02125379350954E+17;2,22022981602666E+17;88,88017;17,7876;14;352,0938;False
24;1,09416635199757E+18;2,96278776450174E+17;103,0452;12,77557;13;346,0891;False
25;7,88710064612442E+17;1,81127760415831E+17;92,39301;10,77313;14;348,2964;False
26;8,55976261854429E+17;2,05705533369142E+17;94,94831;15,77362;14;346,9215;False
27;7,74813337148981E+17;2,40903675042595E+17;91,84715;18,80554;14;349,907;False
28;1,17929012990312E+18;2,13202308261164E+17;105,651;16;13;348,8596;False
29;5,75811181449576E+17;1,30080760002301E+17;83,19426;11;14;348,1348;False
30;8,00815137878442E+17;2,4243799681437E+17;92,8633;21;14;349,071;False
31;1,24115882456436E+18;2,93298369955522E+17;107,4672;13,98047;14;347,1205;False
32;1,20222951587132E+18;3,40177329182265E+17;106,3316;38,38354;13;347,3838;False
33;1,20049874713025E+18;2,07964878457222E+17;106,2806;23;13;348,849;False
34;7,09362227446022E+17;1,55854306958901E+17;89,18449;25;13;347,0437;False
35;1,20112684314762E+18;3,54284381131296E+17;106,2991;21;13;344,7298;False
36;2,09054131518702E+18;2,48820204921736E+17;127,8654;15,9856;13;343,9028;False
37;1,16870416938985E+18;2,42498626840953E+17;105,3339;21,97473;13;345,7133;False
38;7,3348420688937E+17;1,77431594113224E+17;90,18416;26;13;345,3176;False
39;7,36165091115794E+17;2,40879392542478E+17;90,2939;28,97314;13;345,5444;False
40;5,09014303873958E+17;1,70708946384427E+17;79,84419;17;13;347,098;False
41;9,21555533381501E+17;2,71370631965888E+17;97,31367;19,93762;13;345,3665;False
42;5,53493019551072E+17;1,60479121454504E+17;82,10521;22;13;345,9078;False
43;1,30651008486762E+18;2,00796979997127E+17;109,3212;21,96973;13;340,0835;False
44;8,46431332694229E+17;1,90845448390233E+17;94,59407;23;13;340,0835;False
45;8,91582502810943E+17;1,2885449018641E+17;96,24699;28,97766;13;339,0829;False
46;1,36727459497666E+18;3,89509481029331E+17;110,9904;16;12;337,7274;False
47;7,7868705405259E+17;3,51565283991886E+17;91,99996;23,94641;13;340,1518;False
48;1,22231896770032E+18;3,21402181539961E+17;106,9206;35,94629;12;338,06;False
49;9,80937751215997E+17;2,87260657288898E+17;99,36051;26;13;339,6107;False
50;1,55172907796922E+18;3,27108028413247E+17;115,7725;30;13;339,2509;False
51;1,37336314061547E+18;4,66295059018205E+17;111,1549;26,849;13;339,4088;False
52;2,69041369370277E+18;4,98532294749428E+17;139,0827;38,84631;13;341,0407;False
53;7,83853453033079E+17;3,25424372189338E+17;92,20298;26,97949;13;339,0982;False
54;8,70169788737913E+17;3,65146851183585E+17;95,47024;20,93091;13;338,3852;False
55;1,29069759583171E+18;3,66429744230564E+17;108,8783;14,90503;13;340,1542;False
56;7,74119407872901E+17;3,09238033080595E+17;91,81973;23;13;340,1151;False
57;1,77132271563493E+18;2,76950611180649E+17;120,9946;25,97412;13;340,1151;False
58;8,94868668188459E+17;3,28542037248836E+17;96,3651;20,99976;12;336,7435;False
59;1,77095822753032E+18;2,45227096367327E+17;120,9863;32;13;340,6432;False
60;9,64364675011576E+17;2,28070438605527E+17;98,79776;26,86548;13;340,6432;False
61;9,61737048379621E+17;3,37125971166023E+17;98,70795;23,8877;13;340,6432;False
62;3,40048764876934E+18;5,83778873420389E+17;150,3766;41;13;340,6679;False
63;1,20430017114433E+18;3,68134091889757E+17;106,3926;22,92139;13;340,2912;False
64;1,93739748737968E+18;3,29698922369699E+17;124,6636;32,94727;13;340,2912;False
65;8,49717772949651E+17;3,14340510542489E+17;94,71634;25;13;340,2912;False
66;2,87934002792445E+18;3,94542128376368E+17;142,2649;36,93384;12;339,1526;False
67;1,1943095961775E+18;3,16513465650066E+17;106,0976;24,89526;13;344,6736;False
68;1,43347000533215E+18;2,72809582623982E+17;112,7534;29;12;341,6284;False
69;2,88679169310379E+18;4,12843716530456E+17;142,3875;41;12;341,6284;False
70;1,27676802045837E+18;1,97817852102495E+17;108,4852;29,78198;12;339,0124;False
71;1,91158205387112E+18;4,28593321218774E+17;124,1074;20;12;342,3906;False
72;7,36600703878824E+17;2,12565617839335E+17;90,31171;21,85693;13;343,1253;False
73;8,15199911065682E+17;2,59260514287642E+17;93,41602;22;11;339,9793;False
74;5,43351433534112E+17;1,83270352467735E+17;81,60065;19;11;339,8554;False
75;1,28198534057112E+18;3,11330452044513E+17;108,6328;29,90527;12;342,2304;False
76;2,5519466968588E+18;5,8431538274983E+17;136,6545;37;12;339,8084;False
77;8,27914663529284E+17;2,69819267109198E+17;93,89919;19,92993;12;339,8084;False
78;1,1895396398583E+18;1,85217790170576E+17;105,9562;23,74292;12;340,7053;False
79;1,16180198514649E+18;4,10189487147057E+17;105,1261;29;12;343,7912;False
80;1,1531748045981E+18;2,62717164647298E+17;104,8653;23,94434;12;341,1206;False
81;8,97653318824755E+17;2,26480619422692E+17;96,46495;21,97974;11;340,4257;False
82;1,85215963514274E+18;2,94169776851675E+17;122,8079;32;12;339,7245;False
83;7,48691346054709E+17;2,53765149084405E+17;90,80315;18,92236;12;339,5772;False
84;1,9048614264853E+18;4,59774631229994E+17;123,9618;31;12;339,1689;False
85;1,85962449446162E+18;3,31250624400196E+17;122,9726;30,92236;12;339,1689;False
86;6,25561299467633E+17;1,32231473572662E+17;85,52438;23,89844;12;339,1689;False
87;1,73245525447095E+18;2,44740652549328E+17;120,103;29,94458;12;339,1689;False
88;1,32431846238585E+18;2,57707794448882E+17;109,8156;26,94971;13;343,2162;False
89;1,77961440769789E+18;5,07211587767606E+17;121,1831;35;12;338,5297;False
90;2,48912692463954E+18;3,33350775742372E+17;135,5238;29;13;341,1237;False
91;1,72125810293159E+18;4,05007181986713E+17;119,8437;24,88599;13;341,1237;False
92;1,75828388211904E+18;3,1944167263117E+17;120,697;26,95483;13;341,953;False
93;2,49310495770883E+18;4,98095532115401E+17;135,596;30;13;341,2908;False
94;3,31813230370357E+18;5,01906032278923E+17;149,1527;35;13;345,4607;False
95;1,26665141397121E+18;2,48978874520043E+17;108,198;22,72974;13;345,4607;False
96;1,81518855665877E+18;5,90144306621606E+17;121,9852;31;13;342,4454;False
97;2,74260228799306E+18;3,48220691920257E+17;139,9762;32,96875;13;346,5853;False
98;1,74978287052993E+18;3,38041171349812E+17;120,5021;25;13;347,2008;False
99;1,16978169078507E+18;3,39870135053451E+17;105,3663;24;13;348,1137;False
100;3,40822903526261E+18;4,52318186686539E+17;150,4907;34;13;348,1137;False
101;2,39360080466254E+18;5,73444541525262E+17;133,7675;27,99268;13;348,1092;False
102;1,96319450406846E+18;3,75206340288997E+17;125,2144;29,97803;13;348,1092;False
103;2,40643595364939E+18;5,26171426864182E+17;134,0062;33,97119;13;348,7456;False
104;1,47750791992574E+18;3,05833677475021E+17;113,8964;29,93506;13;346,829;False
105;1,72108451753335E+18;4,84506044782661E+17;119,8397;32,93213;13;346,0391;False
106;1,75171388782621E+18;4,21535583754938E+17;120,5464;28,91064;13;345,0609;False
107;2,47159053881023E+18;3,34068376904414E+17;135,2048;32;12;346,5194;False
108;1,16887404393634E+18;3,50546252580415E+17;105,339;25,93945;13;345,5408;False
109;8,61125893282595E+17;2,27095787427437E+17;95,13834;22;12;345,9664;False
110;1,98952863218742E+18;4,43883106981852E+17;125,7718;34,89453;12;347,5515;False
111;1,23374481765827E+18;3,6075122913706E+17;107,2528;26,96924;12;346,5664;False
112;2,01166056430397E+18;4,35395298304668E+17;126,2365;32,94629;12;346,5664;False
113;1,78108967742446E+18;5,10332318969022E+17;121,2166;30;12;346,3834;False
114;1,73162704733733E+18;4,91971941822261E+17;120,0839;31;12;347,9766;False
115;1,77711920349761E+18;3,96511261331397E+17;121,1264;34,96338;12;347,9766;False
116;1,7976517585126E+18;4,39157459869762E+17;121,5911;32;12;347,1245;False
117;2,62077502524595E+18;6,11684865097597E+17;137,8722;35,91064;12;345,4847;False
118;1,30123105466476E+18;3,30847385962309E+17;109,1737;32;12;345,3545;False
119;1,90812120358375E+18;6,30740210863099E+17;124,0324;29;12;347,6105;False
120;1,19776013854337E+18;2,10273077878692E+17;106,1997;28,88184;12;345,2675;False
121;1,19047724839888E+18;3,70984605940553E+17;105,984;26;12;345,2675;False
122;1,17430920479035E+18;4,03258928514308E+17;105,502;27;12;346,3635;False
123;1,15062634280334E+18;4,29545399417779E+17;104,788;24;12;348,515;False
124;1,74353269668184E+18;4,23969334849279E+17;120,3585;30;12;346,7194;False
125;1,76134794614774E+18;2,7101617193589E+17;120,767;27,93457;12;347,3437;False
126;1,52807597151565E+18;4,77488537388083E+17;115,1812;28,98291;12;342,7846;False
127;1,71267902601691E+18;6,64721841912257E+17;119,6443;31;12;342,6094;False
128;1,14398309354832E+18;2,42604545093612E+17;104,5859;29;12;341,3858;False
129;1,76509164580137E+18;2,51278369285472E+17;120,8525;28,92432;12;343,0797;False
130;1,18013730361233E+18;3,77881346959211E+17;105,6763;23,93457;12;345,769;False
131;1,36821453997946E+18;4,14282091072795E+17;111,0158;26,8999;12;345,769;False
132;1,1507097682481E+18;3,19907354677713E+17;104,7905;26,95313;12;343,1378;False
133;1,6897588815022E+18;4,87114776563312E+17;119,1082;32,93848;12;343,2262;False
134;1,17832036064743E+18;4,13229238062993E+17;105,622;29,93262;12;341,3855;False
135;1,8166899397865E+18;6,12331138386703E+17;122,0189;32;12;341,836;False
136;1,17776579447017E+18;4,19417114185563E+17;105,6054;26,94287;13;346,5967;False
137;1,21167775672775E+18;4,27214778067319E+17;106,6095;26,979;13;345,7771;False
138;1,75123491307337E+18;3,94964002797853E+17;120,5355;32,92578;13;346,3267;False
139;1,49686578420541E+18;3,44439562791866E+17;114,3916;29;13;346,3267;False
140;2,4084909408817E+18;6,85708823512272E+17;134,0443;34;12;346,1099;False
141;1,8874895550833E+18;6,56554197174872E+17;123,5838;28,97754;12;345,5971;False
142;1,73187457489253E+18;6,33485918385838E+17;120,0896;29,95166;12;345,6551;False
143;1,72971307247128E+18;4,49174467332011E+17;120,0396;28;13;346,9098;False
144;2,65549677781739E+18;6,16154774963329E+17;138,4784;31;13;348,3382;False
145;1,78977540696703E+18;5,52504657999351E+17;121,4133;24,9126;13;349,4614;False
146;2,47585801831553E+18;7,295611214825E+17;135,2826;32,96826;13;348,2605;False
147;1,74279781059763E+18;3,56001167237238E+17;120,3416;30,91992;13;348,7008;False
148;1,8515781309306E+18;5,71534128599741E+17;122,795;32,9043;13;348,7008;False
149;4,52025805316502E+18;5,4656853177071E+17;165,3437;35,97559;13;344,3678;False
150;1,18992460636697E+18;3,85450337063089E+17;105,9676;22,93359;13;346,3517;False
151;7,53114681333252E+17;1,99546400460361E+17;90,98163;16,91455;13;345,7448;False
152;4,46811261470612E+18;4,37392331065682E+17;164,7055;44,92285;13;349,0798;False
153;2,3992874788014E+18;4,09615015045444E+17;133,8733;34,98193;13;349,0168;False
154;1,19385742202058E+18;2,91540920501797E+17;106,0842;25;13;347,6917;False
155;1,17173923379937E+18;2,33616435199343E+17;105,425;21,93555;13;347,4316;False
156;1,74205509049306E+18;4,86530719833234E+17;120,3245;25,87402;13;349,935;False
157;1,73793728200809E+18;4,76498374296601E+17;120,2296;32,88428;12;342,1396;False
158;1,27245944670598E+18;2,93850927082973E+17;108,3631;29,92041;12;343,6449;False
159;1,74508424502759E+18;3,03361539371434E+17;120,3942;35,88184;13;345,798;False
160;1,24368261606697E+18;2,4973513553416E+17;107,54;22,96875;12;344,9971;False
161;2,46626642863063E+18;6,41925424059358E+17;135,1077;37,97656;12;344,9971;False
162;1,19203113320684E+18;4,48195496555158E+17;106,0301;25,89844;13;344,7491;False
163;1,69579561265555E+18;4,34317043621665E+17;119,2498;32;12;343,1025;False
164;2,1967966070668E+18;5,78564259058182E+17;129,996;29,96826;12;344,3038;False
165;1,1536025146213E+18;2,94524767432186E+17;104,8782;23,81738;13;344,3293;False
166;2,01002778953672E+18;4,6385537525366E+17;126,2023;32,78857;12;343,0423;False
167;1,28747437749489E+18;4,62178800698707E+17;108,7876;26,88037;13;343,4365;False
168;1,28573055205324E+18;3,68105374497532E+17;108,7385;22,9707;12;343,6173;False
169;1,56415397167995E+18;2,40945836049477E+17;116,0807;29,88916;13;344,662;False
170;1,74350218523417E+18;4,81132698716131E+17;120,3578;25,91064;12;342,4669;False
171;1,71498071617071E+18;5,81537820071218E+17;119,6979;28,94482;11;342,5347;False
172;1,3203659929619E+18;3,35492974152516E+17;109,7063;29,92334;11;342,5113;False
173;1,30360861112087E+18;3,40217970968809E+17;109,2402;25,96729;13;344,1796;False
174;1,35393545734744E+18;3,74487529674297E+17;110,6282;29;11;342,5113;False
175;1,72912153521553E+18;6,07828696436729E+17;120,026;28,94629;11;342,5113;False
176;1,5474093716616E+18;3,72062127704454E+17;115,6649;26,89063;11;344,4059;False
177;1,72409236903009E+18;6,2644267878963E+17;119,9095;27;13;345,2332;False
178;1,74664403971054E+18;4,06066572912335E+17;120,43;28;12;339,025;False
179;2,41827467022356E+18;5,33179306160528E+17;134,2256;30,93604;13;346,3537;False
180;1,72958882765734E+18;4,85440872825802E+17;120,0368;28;12;340,0956;False
181;2,45585762692838E+18;5,01632720349548E+17;134,9173;31,95166;12;340,0956;False
182;1,3471312670779E+18;5,12783160946196E+17;110,4426;26,96338;12;344,6408;False
183;1,3985976196677E+18;4,78056370245573E+17;111,8315;32,9165;12;344,1451;False
184;1,25804443694898E+18;3,0942351054053E+17;107,9523;23,99219;12;340,6161;False
185;1,74605745025712E+18;5,00359631076078E+17;120,4165;26,95264;12;340,6161;False
186;1,73540057124386E+18;5,02406944519933E+17;120,1711;29,91113;13;344,5521;False
187;1,76555660178096E+18;3,49991202243059E+17;120,8631;28,9375;13;344,5521;False
188;1,04531903610513E+18;2,45781962810156E+17;101,4884;20;13;346,1208;False
189;1,32941483621954E+18;4,53922767266801E+17;109,9563;22,9375;12;342,3849;False
190;1,70767267469774E+18;5,22098263579805E+17;119,5276;34,92969;13;345,0378;False
191;2,86369782575189E+18;6,35819909170017E+17;142,0068;38,87695;13;343,7692;False
192;2,46096238453824E+18;5,34140799366359E+17;135,0107;30,99121;13;343,4364;False
193;1,34154698495938E+18;4,18572636039152E+17;110,2898;22,96582;13;345,0664;False
194;3,35512482266428E+18;4,74879417184053E+17;149,705;30,93066;13;345,0664;False
195;8,94590423027155E+17;2,06167252236042E+17;96,35511;26,94336;13;343,7479;False
196;1,84540629728598E+18;3,78232782924127E+17;122,6584;32,90039;13;343,7479;False
197;2,47074968729289E+18;3,57937750878244E+17;135,1895;30,97754;13;344,0949;False
198;2,41221965968939E+18;8,23234007453296E+17;134,1134;35;13;344,4209;False
199;2,54133503526122E+18;9,46427884049583E+17;136,4648;38;12;343,7375;False
200;2,44932405395823E+18;6,01705609823676E+17;134,7976;35,98438;13;344,0666;False
201;3,41770325208125E+18;1,10090955136424E+18;150,63;41,91895;13;344,1447;False
202;2,52606721679793E+18;6,67952149319503E+17;136,191;35;13;344,7857;False
203;3,64552316086806E+18;8,30873862935046E+17;153,9052;36;13;344,8746;False
204;2,83841263172583E+18;7,61236298060005E+17;141,5876;41,94629;13;344,6606;False
205;1,95006097511363E+18;6,18128040346826E+17;124,9346;26,93457;13;344,3244;False
206;1,79862675044853E+18;5,22677421356981E+17;121,6131;32;13;340,5037;False
207;2,4414729911801E+18;4,03587410785678E+17;134,6534;32,97656;13;343,996;False
208;2,53957499202306E+18;5,85784251418201E+17;136,4333;40;13;343,3735;False
209;2,48553427039578E+18;7,50466390169118E+17;135,4586;34;13;344,2265;False
210;1,86667346350729E+18;7,14229962373281E+17;123,1278;32;13;344,9521;False
211;2,49067503701144E+18;7,80931443760415E+17;135,5519;30,94141;13;343,3634;False
212;2,54180562623791E+18;9,72325473502835E+17;136,4732;33;13;343,3634;False
213;2,44688368790038E+18;7,07294027888067E+17;134,7528;32,87988;13;344,1582;False
214;3,33922863330571E+18;7,28768230935704E+17;149,4682;37,97461;13;346,4842;False
215;3,35382410040862E+18;5,79825790406676E+17;149,6856;37,93457;13;346,7169;False
216;1,7107091134968E+18;4,71713125758088E+17;119,5984;29,9873;13;343,8273;False
217;1,75135668398614E+18;3,12838767129919E+17;120,5382;27,93652;13;344,4532;False
218;1,96702300355638E+18;4,27281321195209E+17;125,2958;29,95508;13;344,3439;False
219;1,94633156911117E+18;7,30484475404118E+17;124,8549;30,87891;13;342,8006;False
220;2,45727434766077E+18;6,86098843459335E+17;134,9433;31;13;344,8488;False
221;2,41300278684628E+18;8,21155747771659E+17;134,1279;32,89258;13;343,3471;False
222;2,45285596018455E+18;8,28280480533683E+17;134,8623;32;13;343,3471;False
223;1,76358311584806E+18;6,4960163587765E+17;120,8181;27;13;344,1014;False
224;2,56711693366513E+18;7,89171096884819E+17;136,9247;34,95898;13;344,1014;False
225;1,17788907721143E+18;4,34268052352978E+17;105,6091;26,91602;13;344,2454;False
226;3,68170698902654E+18;8,55724646349354E+17;154,4127;44,88086;13;345,8545;False
227;2,41921172900833E+18;8,49481158409742E+17;134,2429;35,89648;13;342,1845;False
228;3,33360078303894E+18;6,21268185798987E+17;149,3842;40;13;342,1845;False
229;2,43568763587265E+18;6,20875754797374E+17;134,547;37,9248;13;341,7513;False
230;2,4725078063857E+18;7,57492045399054E+17;135,2215;37,96875;13;341,0212;False
231;1,93653354611815E+18;4,38759693286979E+17;124,645;34;13;342,7527;False
232;2,44911872016174E+18;4,72653492147506E+17;134,7938;34;13;342,525;False
233;3,90236577858165E+18;7,11376767280166E+17;157,4379;40,95313;13;341,3032;False
234;1,95164124820065E+18;5,69983933554744E+17;124,9683;31;13;341,6313;False
235;2,42771122876894E+18;6,63832349209579E+17;134,3999;38;13;339,8301;False
236;2,60689121704411E+18;4,90520389967518E+17;137,6283;38,96387;13;340,388;False
237;4,66201836221209E+18;9,90668985695889E+17;167,0544;47,90625;13;338,9887;False
238;2,57132119125184E+18;1,08115005947668E+18;136,9994;32;13;342,6994;False
239;2,53213597122744E+18;1,09885440454705E+18;136,2999;32,94043;13;342,7253;False
240;1,89889657590461E+18;3,48563169420614E+17;123,8323;31,8916;13;342,7044;False
241;3,88162486611319E+18;8,50274451395662E+17;157,1585;36,88965;13;343,2451;False
242;2,45017342669069E+18;7,31893731724939E+17;134,8132;29,89551;13;343,2451;False
243;2,45558274902144E+18;4,85782450298736E+17;134,9123;32;13;343,0861;False
244;2,46063280592781E+18;6,95047971798621E+17;135,0047;31;13;342,2083;False
245;2,15059540334556E+18;1,03437758660807E+18;129,0782;35;13;342,3534;False
246;2,43112851090807E+18;5,74977686764939E+17;134,463;34;13;341,1642;False
247;2,59429218817933E+18;6,54113539141455E+17;137,4062;35,89648;13;337,8694;False
248;2,10967034360916E+18;6,06833822147176E+17;128,2542;35;13;339,8347;False
249;2,46056601059643E+18;4,54848324786822E+17;135,0035;28,88672;11;338,9171;False
250;2,02264386083173E+18;5,87040923200782E+17;126,4658;32,93555;12;338,3297;False
251;2,26635679788119E+18;9,28946207463502E+17;131,3538;35,88477;12;338,8242;False
252;2,08838957093146E+18;6,02427156069981E+17;127,8215;27,88574;13;343,5088;False
253;1,90531016466838E+18;7,73035886376491E+17;123,9715;32,99414;13;343,8598;False
254;2,4676586852293E+18;1,04488312525963E+18;135,1331;31;13;346,0466;False
255;2,66531651616506E+18;8,86710577607895E+17;138,6488;35;13;345,5944;False
256;2,00608054279301E+18;7,75935233502059E+17;126,1197;29,99414;12;343,2261;False
257;3,40847285196607E+18;9,3846527309379E+17;150,4943;34;12;343,2261;False
258;3,35072430225202E+18;1,02908978646242E+18;149,6395;30,9541;12;344,1039;False
259;2,44369730320309E+18;8,4676325267439E+17;134,6943;35;12;344,6897;False
260;3,72382213266106E+18;1,10148332928253E+18;154,9993;35;11;340,8002;False
261;3,77042438324853E+18;6,70822876464067E+17;155,6432;35;11;341,1167;False
262;3,35237082091461E+18;9,739401701152E+17;149,664;35,89648;11;341,1167;False
263;3,59852591072831E+18;9,13596550906433E+17;153,241;34,91504;12;342,2597;False
264;4,24943926827287E+18;1,39642669687992E+18;161,9735;35;12;341,2665;False
265;2,51430711530514E+18;1,27511788669161E+18;135,9793;26,98535;12;344,5446;False
266;3,33981467300332E+18;1,19816367214197E+18;149,4769;33;12;341,9602;False
267;2,53411949020394E+18;1,40036649121114E+18;136,3355;27;12;343,5643;False
268;2,47777364244903E+18;7,68966359234537E+17;135,3175;32;12;340,1566;False
269;2,51394400159007E+18;8,19460848772081E+17;135,9727;30;12;342,5615;False
270;2,62855764342525E+18;8,75195196290105E+17;138,0085;32;12;341,6362;False
271;2,41180624331735E+18;7,81697267603499E+17;134,1058;29,95215;12;344,4474;False
272;3,36414851459344E+18;6,42164435611288E+17;149,8391;33;12;342,4364;False
273;3,872675116341E+18;9,6070557918403E+17;157,0376;38,8877;12;342,4364;False
274;2,47755593914673E+18;8,35365021265219E+17;135,3135;29,92578;12;344,8568;False
275;3,14038552883521E+18;1,10267809008462E+18;146,4404;35;12;344,7085;False
276;3,36711362257564E+18;6,98143944154179E+17;149,8831;35,91406;13;346,4081;False
277;3,33950268657893E+18;8,22707372556078E+17;149,4723;34;12;345,419;False
278;2,8725494441113E+18;7,22311536752512E+17;142,1529;35;13;346,7104;False
279;2,1336921987749E+18;6,35304214625308E+17;128,7391;28,84863;12;344,7027;False
280;2,55339255464932E+18;6,98246760493797E+17;136,6803;30,73438;13;345,4326;False
281;3,38465907937588E+18;1,07297433469153E+18;150,143;31,97363;13;345,4326;False
282;2,43969398136635E+18;5,44144630402882E+17;134,6207;35,87988;12;344,8606;False
283;2,45194089163234E+18;5,99180072627418E+17;134,8456;31,79102;12;346,5287;False
284;3,90744304840081E+18;1,07386501210267E+18;157,5062;33,78223;12;346,5287;False
285;2,76318487078712E+18;9,24209085342024E+17;140,3255;28,77441;12;346,0714;False
286;2,16769583281445E+18;6,82063932565958E+17;129,4194;35,79492;12;346,9518;False
287;2,49100736440094E+18;7,23889946723195E+17;135,558;27,91406;12;346,9518;False
288;3,26671226804109E+18;1,35269147749269E+18;148,3783;33,77539;12;348,7673;False
289;3,1585942660249E+18;1,09772076489942E+18;146,7229;38,7168;12;344,5482;False
290;2,54822155146389E+18;1,02020698241635E+18;136,588;32,74609;12;348,3732;False
291;3,03714111210914E+18;1,17180239811172E+18;144,8177;41,77734;12;347,0831;False
292;3,04564143650347E+18;7,67540195113933E+17;144,9527;32,76367;12;347,0831;False
293;2,7587623601423E+18;6,03776435658896E+17;140,2506;35,79199;12;348,0268;False
294;2,42722579438528E+18;7,93927544872108E+17;134,391;26,80957;12;349,4539;False
295;4,05703737779578E+18;9,62211322554168E+17;159,4911;42,78516;12;349,6367;False
296;4,06075785026627E+18;6,08203877780031E+17;159,5398;32,75977;12;348,4416;False
297;2,45782053006187E+18;8,22889956100153E+17;134,9533;29,76563;12;348,4416;False
298;3,31378785838432E+18;1,1357085816041E+18;149,0876;28,77637;12;347,0992;False
299;3,33989246345098E+18;1,06767134258969E+18;149,4781;32,79492;12;347,8104;False
300;3,34523526532825E+18;1,21187700460981E+18;149,5577;37,76758;12;347,374;False
301;3,32956859902198E+18;9,41116342520513E+17;149,3239;34,80176;12;347,5098;False
302;3,02221111859347E+18;8,59229738853256E+17;144,58;29,82129;12;346,9276;False
303;2,76656916757742E+18;1,04684304222147E+18;140,3828;32,80664;12;348,1648;False
304;3,33531849507943E+18;1,32029881237195E+18;149,4098;41,84668;12;345,2886;False
305;2,4597378034628E+18;6,65601323754219E+17;134,9883;32,78418;12;346,3468;False
306;2,77941998460495E+18;7,26454877762775E+17;140,5998;35,75586;12;347,5604;False
307;2,38128599955354E+18;8,85920410595282E+17;133,5377;29,77441;12;345,8925;False
308;3,33299302798669E+18;1,2605879528431E+18;149,3751;31,8125;12;345,6669;False
309;2,47887865163494E+18;9,95047940943145E+17;135,3376;27,7793;12;349,5;False
310;2,4906060426568E+18;6,32384259993589E+17;135,5507;27,7666;12;349,5;False
311;3,37077582092986E+18;1,1840159064204E+18;149,9374;35,82129;12;346,2074;False
312;3,35903303674521E+18;8,94862849051774E+17;149,7631;37,75977;12;343,385;False
313;2,44122230252896E+18;1,2005242228093E+18;134,6488;30,76563;12;339,7398;False
314;3,43277508259689E+18;1,16963301249537E+18;150,8511;35,7627;12;344,065;False
315;2,50534252212598E+18;5,5202806736093E+17;135,8175;35,79004;12;348,725;False
316;3,37459937261545E+18;1,02933145102362E+18;149,9941;36,80664;12;348,725;False
317;2,48819288951174E+18;9,22696592968909E+17;135,5069;35,79688;12;348,725;False
318;3,35433179990275E+18;1,16390831841754E+18;149,6932;38,73047;12;347,1096;False
319;2,4814696507858E+18;4,86079600014046E+17;135,3847;29,72754;12;346,9749;False
