Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1,08959506368561E+17;8,25283534372352E+15;47,76265;12,80125;14;446,5274;False
2;4,97030520484397E+17;8,45792597458563E+16;79,21262;15,41949;14;446,5274;False
3;4,80964937615671E+17;7,38157409263944E+16;78,34978;15,94715;14;446,8196;False
4;1,29184601854706E+17;2,45567658597024E+16;50,55183;9,982994;14;446,8196;False
5;8,58184562239341E+17;1,82666239640863E+17;95,02989;16,99999;14;446,9997;False
6;8,33670538181214E+17;2,11311982349031E+17;94,11629;18,96404;14;447,3463;False
7;4,86610414428226E+17;1,09609519217331E+17;78,65514;16,97594;14;448,3004;False
8;1,99843330198287E+18;2,24726187613622E+17;125,9592;26;14;447,2418;False
9;1,49364270330754E+18;1,78850762099524E+17;114,3095;30;14;448,446;False
10;1,2622335762508E+18;2,18192690735528E+17;108,072;26,97406;14;447,4138;False
11;8,7261228509954E+17;2,22750136290247E+17;95,55948;11;14;449,4119;False
12;8,14990179222684E+17;1,79369001491209E+17;93,40801;20;14;447,7259;False
13;1,27214993418276E+18;2,21510856964938E+17;108,3543;19;14;447,9051;False
14;8,39843402617979E+17;1,69264400689739E+17;94,34801;23;14;446,7831;False
15;1,60331527732645E+18;3,51977687005056E+17;117,0414;20;14;446,5699;False
16;5,41104272285106E+17;1,64358970857541E+17;81,488;17;14;446,7991;False
17;5,22773764182639E+17;1,48763198009004E+17;80,55724;20;14;449,6502;False
18;1,86693652166423E+18;2,97812289865856E+17;123,1336;19;14;449,5816;False
19;8,02850265181979E+17;1,90565508704947E+17;92,94189;18;14;446,0924;False
20;2,98178482481922E+17;1,00481790192176E+17;66,80753;14,9621;14;446,0924;False
21;5,28699444661584E+17;1,29252410600692E+17;80,86047;18;14;450,1696;False
22;8,94351210528637E+17;2,10482441723734E+17;96,34652;15;14;443,6106;False
23;4,90908267942248E+17;1,5097799945392E+17;78,88603;21;14;448,947;False
24;4,79869995833098E+17;1,26067607906497E+17;78,29028;15;14;444,5296;False
25;1,30654375741122E+18;2,66874437553357E+17;109,3221;22;14;448,4904;False
26;8,30787687412662E+17;1,96626399103025E+17;94,00768;19;13;444,9741;False
27;1,33423619470734E+18;2,0138822334268E+17;110,0891;19;13;445,1233;False
28;8,30154712312447E+17;1,57134081222928E+17;93,9838;17,00006;14;445,4359;False
29;7,83131967246828E+17;1,32397232004242E+17;92,17468;20;13;445,0497;False
30;3,16496999035699E+17;8,23333769866215E+16;68,14854;12;13;444,1149;False
31;9,31009409235026E+17;1,83999368670478E+17;97,6453;21;14;446,0724;False
32;7,99875055436694E+17;1,69515197989598E+17;92,82694;15,96887;14;446,0724;False
33;1,27789433268208E+18;2,51934807743751E+17;108,5171;20;14;446,0724;False
34;5,62876698459111E+17;1,81321567547918E+17;82,5666;16;13;444,2957;False
35;2,70423613541188E+17;8,13869548324454E+16;64,66682;15;14;446,0724;False
36;4,87396977558946E+17;1,05512246247739E+17;78,6975;20;12;444,568;False
37;8,32058791573848E+17;1,32868882464506E+17;94,0556;17,96899;14;442,9078;False
38;7,78094004968358E+17;1,41572165808528E+17;91,9766;17;14;442,7795;False
39;8,20061882764231E+17;2,06017019598445E+17;93,60137;20;13;442,1251;False
40;1,29553352284858E+18;1,73115041829513E+17;109,0142;18;12;438,9069;False
41;1,29239534486422E+17;5,49385528164745E+16;50,559;10;14;440,7735;False
42;1,23007698430696E+18;1,65221709543113E+17;107,1464;20;14;440,7735;False
43;8,03269522709545E+17;1,73350665122447E+17;92,95807;23;12;438,416;False
44;5,26416343126245E+17;1,39667031025359E+17;80,74391;17;14;440,5076;False
45;7,52889281449558E+17;1,52388382544883E+17;90,97255;19;13;441,1884;False
46;9,77179414313828E+17;2,62301914549033E+17;99,23345;17;13;441,1884;False
47;1,0987704882194E+18;1,91802337684095E+17;103,1895;19;14;442,8806;False
48;8,86367313001972E+17;2,14482462431825E+17;96,05897;17;14;444,0407;False
49;6,53022564444013E+17;1,85256209124458E+17;86,75797;15;14;444,0407;False
50;6,04577807246295E+17;1,66834845752888E+17;84,55723;16;13;439,9518;False
51;1,33928460234627E+18;3,05668484036035E+17;110,2278;16;13;443,0016;False
52;1,26075610750098E+18;2,98618129370998E+17;108,0298;18;13;441,8601;False
53;8,05881275142373E+17;1,87547248643539E+17;93,05871;20;14;443,5895;False
54;8,53571148888146E+17;1,9980560270392E+17;94,8593;16;13;443,0799;False
55;2,56513918712467E+18;3,37729638110724E+17;136,8896;20,00012;13;443,4577;False
56;1,63745758727006E+18;2,19104537135542E+17;117,8664;19;13;442,0978;False
