Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;13804;4381,9;68,1599;13,54989;12;238,9748;False
2;12415;5306,55;9,278924;2,347061;11;216,4297;False
3;20619;7973,05;108,5365;27,90907;14;241,8206;False
4;12906;8233,95;21,36079;6,081505;10;215,7314;False
5;19397;10494,6;83,92563;24,39869;11;216,2853;False
6;17734;12338,65;5,849684;3,71701;10;191,8573;False
7;18194;13494,5;6,133265;3,227081;9;190,2319;False
8;19259;15719,45;38,05051;9,107559;10;191,4522;False
9;22364;16826,4;67,47501;15,77641;10;191,4522;False
10;23258;18097,1;78,06744;11,70085;11;193,8336;False
11;22351;18312,7;38,51392;9,122498;11;181,6099;False
