Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;883013;402269,45;938,6989;42,78728;13;406,6867;False
2;1797573;709081,55;1338,504;72,29133;13;275,4593;False
3;895435;731072,8;943,1094;38,08331;13;275,4593;False
4;1185559;479951,75;1086,213;48,89542;14;279,8846;False
5;1810146;650953,7;1343,296;68,75919;14;279,8846;False
6;1177483;814176,95;1084,324;50,49878;12;416,8266;False
7;1183834;712904,45;1087,178;56,72009;12;405,191;False
8;1133971;806867;1063,177;61,52325;12;325,4192;False
9;1831938;802680,05;1352,151;81,18652;12;325,4192;False
10;1799239;898419,4;1340,153;62,69867;12;338,2386;False
11;2468957;983007,55;1569,757;70,74524;13;295,9638;False
12;3465730;970977,05;1750;84,62366;12;338,2386;True
13;3465730;1043586,7;1750;89,5437;12;338,2386;True
14;3465730;1160689,55;1750;82,43359;12;338,2386;True
15;3466711;1321724,4;1750;83,34778;13;309,6092;True
16;3466718;1694485,3;1750;87,04846;13;309,4568;True
17;3467835;1724752,35;1750;89,37976;13;286,1343;True
18;3467835;1504716,75;1750;92,25879;13;286,1343;True
19;3467835;1761578,15;1750;89,61475;13;286,1343;True
20;3467835;2096115,75;1750;90,32776;13;286,1343;True
21;3467835;2128873,1;1750;90,58081;13;286,1343;True
22;3467949;2628061,7;1750;91,72742;12;284,1226;True
23;3467949;2306731,45;1750;97,80762;12;284,1226;True
24;3467949;2101746,5;1750;92,16455;12;284,1226;True
25;3467949;2556585,9;1750;92,51343;12;284,1226;True
26;3467949;2575910,25;1750;93,8916;12;284,1226;True
27;3468035;2656359,8;1750;92,54907;12;282,6451;True
28;3468035;2735560,25;1750;90,67969;12;282,6451;True
29;3468035;2766778,25;1750;88,76587;12;282,6451;True
30;3468035;3052947,1;1750;89,03271;12;282,6451;True
