Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;4,3363978390274E+16;4,20547392814615E+15;35,13255;11,46214;12;344,361;False
2;6,19535082394223E+17;7,33507147209413E+16;85,24887;16;12;345,7798;False
3;3,50209262493893E+17;1,01758490985314E+17;70,48703;16;12;345,7798;False
4;5,57596706183578E+17;1,36427999672559E+17;82,30762;21;13;385,0924;False
5;4,60446298294714E+17;1,27626917916233E+17;77,21938;15;12;345,143;False
6;3,70234083655025E+17;9,16132619628322E+16;71,80568;14;13;346,5075;False
7;4,85049210995999E+17;1,14855458928329E+17;78,57094;20;12;347,5633;False
8;6,53061871984706E+17;1,0734571699233E+17;86,75971;18;12;346,2773;False
9;3,31233031828275E+17;1,01013834856137E+17;69,19019;15;12;346,3221;False
10;2,55477574027706E+17;7,41285095922467E+16;63,45282;17;12;346,2773;False
11;5,30251199165759E+17;1,59445604262697E+17;80,93951;15;12;349,8437;False
12;9,47946629946671E+17;2,6689964492781E+17;98,23388;25;12;345,193;False
13;1,89467321430337E+18;2,90936381547164E+17;123,7404;17;12;346,304;False
14;5,06179213141737E+17;1,07171264828015E+17;79,69568;17;12;346,304;False
15;5,03371197883351E+17;1,58187156499805E+17;79,54803;14;12;343,7349;False
16;1,2727255285199E+18;2,24310099519629E+17;108,3706;17;12;346,4231;False
17;9,39898548428734E+17;1,59175814958547E+17;97,95509;15;13;346,4089;False
18;5,03292857679872E+17;1,60097004835098E+17;79,54391;11;12;345,4947;False
19;1,86196796605727E+18;2,16900730344597E+17;123,0243;16;13;346,7914;False
20;7,73519624279949E+17;1,6332620099409E+17;91,79601;16;13;346,7914;False
21;1,47664878902759E+18;2,20047055371895E+17;113,8743;18;13;347,7729;False
22;7,71871387630436E+17;2,11171188707374E+17;91,73076;17;13;346,1672;False
23;6,89182753102496E+17;2,38408519813903E+17;88,33066;17;13;346,1672;False
24;3,50290145318011E+17;1,22179291431777E+17;70,49245;16;13;348,1195;False
25;8,33957235838157E+17;1,39325198086386E+17;94,12708;21;13;348,1195;False
26;1,21453813622741E+18;2,57799763308996E+17;106,6933;21;13;347,3456;False
27;3,04954188528353E+17;1,06437669166776E+17;67,30978;16;13;347,3776;False
28;2,03485531184772E+18;2,61218472423955E+17;126,7198;24;13;347,7806;False
29;5,63267025086972E+17;1,47150172869519E+17;82,58569;14;13;347,4596;False
30;6,27253516582257E+17;1,56692921500828E+17;85,60143;14;13;346,6912;False
31;4,97161809044701E+17;1,78935916552992E+17;79,21959;19;13;346,0068;False
32;2,82633535548817E+17;9,77590362493157E+16;65,62579;14;13;345,721;False
33;7,78087407898591E+17;1,48269709500665E+17;91,97634;19;13;346,4956;False
34;1,97025625493681E+18;3,38940896645795E+17;125,3644;21;13;347,3808;False
35;4,38433525750825E+17;1,25261410234951E+17;75,96868;17;13;347,6794;False
36;1,15257941905166E+18;1,68144875873213E+17;104,8472;17;13;350,2269;False
37;3,04279294547329E+17;1,19957338646066E+17;67,26009;13;13;347,3226;False
38;8,59724565712994E+17;1,42099515705813E+17;95,0867;20;13;349,4561;False
