Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;2,66349510643417E+17;1,76692262447872E+16;64,34043;17,89572;10;305,6608;False
2;2,65210725834686E+17;5,70092046728036E+16;64,2486;15;13;307,0546;False
3;1,47970075842839E+17;6,12141114175914E+16;52,89216;14;10;306,0355;False
4;4,91617899618763E+17;1,02983185127283E+17;78,92403;17,94876;10;336,5498;False
5;3,15981740399133E+17;9,46877984256168E+16;68,11153;15,91309;10;336,5386;False
6;3,19671632702472E+17;8,66754061129482E+16;68,37563;17,88509;10;336,948;False
7;6,08700494814118E+17;1,16303976309935E+17;84,74899;13,91592;12;301,2549;False
8;5,5037332710595E+17;1,03272729847021E+17;81,95066;13,90031;10;303,9563;False
9;3,18310402947547E+17;5,8159218235732E+16;68,27844;18;11;338,4563;False
10;3,09695729343922E+17;8,8006152261573E+16;67,65685;18,93597;11;339,1565;False
11;8,04795163812561E+17;1,32734205170339E+17;93,01688;21,94952;10;338,1576;False
12;4,50386660253762E+17;1,17379337713772E+17;76,65289;16,9343;11;325,1029;False
13;4,66934825647866E+17;1,55151856071764E+17;77,58041;15;11;325,1029;False
14;5,97612882120671E+17;1,75925198801443E+17;84,23126;18,88651;9;336,2645;False
15;4,89899534743241E+17;1,53065562146708E+17;78,83196;11,8772;10;323,9939;False
16;1,37136958859536E+18;2,81170554737027E+17;111,1011;20,90234;10;323,968;False
17;1,22627817163299E+18;2,10618756335298E+17;107,0359;21,93066;11;325,2451;False
18;7,45671193771639E+17;2,06732908820011E+17;90,68089;19,88812;9;322,5539;False
19;1,31630975712808E+18;2,75045323799475E+17;109,5938;24;10;324,0831;False
20;1,20770769511776E+18;3,10538659518061E+17;106,4929;21,89771;10;325,5218;False
21;8,4487270624238E+17;2,53111013868988E+17;94,53597;23,93073;9;324,2592;False
22;1,80131491893949E+18;3,27004470890621E+17;121,6737;28;9;324,3653;False
23;1,29273416624426E+18;5,32777345546086E+17;108,9356;32;9;324,5724;False
24;1,20546771505408E+18;3,59586644541991E+17;106,427;21,9549;9;325,427;False
25;1,80161302402957E+18;4,5496975625793E+17;121,6804;25,91821;9;324,2475;False
26;1,80170497068945E+18;5,02710459639739E+17;121,6824;28,90576;9;326,5519;False
27;1,79628602763195E+18;4,95422858850625E+17;121,5603;32;9;326,0905;False
28;3,51340007123845E+18;5,43321579656549E+17;152,023;33,96362;9;326,495;False
29;2,54243042372039E+18;7,76563436571486E+17;136,4844;32,95044;9;326,495;False
30;2,02168233791324E+18;3,9376270489058E+17;126,4458;35;9;323,9528;False
31;3,49644010438001E+18;4,80555944877071E+17;151,778;36;9;326,495;False
32;2,56762160950228E+18;9,3496966733554E+17;136,9337;30;10;328,4292;False
33;4,60475579663752E+18;1,02817640706208E+18;166,3676;41;10;328,2451;False
34;2,57182806611224E+18;8,30343130326552E+17;137,0084;32,95422;10;327,7195;False
35;3,49077706974115E+18;1,37408732750665E+18;151,696;35;11;328,3442;False
36;3,50474141716972E+18;7,57152233397759E+17;151,898;37;11;328,2225;False
37;2,55016823680087E+18;9,55065620270311E+17;136,6227;29,97473;10;326,6188;False
38;2,57279068854236E+18;5,73509791404943E+17;137,0255;34;10;325,5948;False
39;2,54015883269741E+18;6,74004930941E+17;136,4437;34;11;329,1191;False
40;3,49865617006579E+18;8,40392532386696E+17;151,81;36,99023;10;325,9758;False
41;2,56418810956664E+18;8,50356039295225E+17;136,8726;32;10;323,6368;False
42;2,57123020666464E+18;6,17935399933811E+17;136,9978;32;10;323,6368;False
43;3,49138812332828E+18;8,05288797167996E+17;151,7048;33,98047;10;325,6034;False
44;3,49861906154835E+18;9,18829973814588E+17;151,8095;37;11;330,1354;False
45;3,48232512385843E+18;6,19783047474053E+17;151,5734;33;10;326,8997;False
46;3,69402261876926E+18;1,02161395848661E+18;154,5847;32;10;326,8997;False
47;2,56938165274044E+18;1,04004028021646E+18;136,965;34;11;328,8425;False
48;2,61079750697969E+18;5,41401939587996E+17;137,697;29;10;326,2118;False
