Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;529,014038085938;70,2848663449287;529,014;23,56289;12;399,4596;False
2;320,339416503906;71,8715441316366;320,3394;18,40926;14;287,7003;False
3;495,142639160156;98,0593938335776;495,1426;30,82113;13;288,1367;False
4;406,554412841797;84,5679089665413;406,5544;18,73705;13;276,9359;False
5;268,162414550781;59,6757452756166;268,1624;17,35579;12;366,9314;False
6;345,661285400391;118,798668211699;345,6613;21,81674;10;348,1078;False
7;294,230743408203;61,9124698452652;294,2307;20,91208;14;423,6577;False
8;293,424163818359;98,6290157258511;293,4242;18,91039;11;251,6249;False
9;547;145,345174974203;547;20,50409;13;328,7543;True
10;379,395629882813;62,8050513222814;379,3956;19,06775;13;346,9587;False
11;346,530853271484;97,9107039704919;346,5309;21,90259;13;384,3181;False
12;374,867309570313;78,9259387254715;374,8673;26,43814;13;291,3772;False
13;270,167022705078;110,13208277598;270,167;24,15945;14;325,1104;False
14;374,601440429688;125,058302432299;374,6014;20,88324;14;315,3008;False
15;296,107269287109;48,7664556488395;296,1073;16,67926;13;301,1293;False
16;293,251892089844;77,1772889912128;293,2519;21,14288;12;293,2283;False
17;347,341094970703;127,287062874436;347,3411;17,98633;12;263,2733;False
18;373,956359863281;100,917419016361;373,9564;20,05359;13;363,1212;False
19;434,286193847656;98,2024317219853;434,2862;29,30811;14;422,0063;False
20;405,223327636719;137,068149030581;405,2233;26,86652;11;392,2232;False
