Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1034525,4375;99748,1359375;100,2131;17,9477;12;364,7277;False
2;595692,75;185618,08828125;82,88683;15,74436;12;364,7277;False
3;627827,5;171102,301074219;84,36903;17;12;364,5763;False
4;578240,1875;161961,166503906;82,00201;20,99571;13;402,1194;False
5;795139,25;239783,139648438;91,31905;23;12;370,1425;False
6;788759;222268,344335937;91,19595;20;12;364,9006;False
7;1370233,125;240862,647363281;110,3306;17;13;367,8742;False
8;509084,625;151446,436914063;78,33546;17,99268;11;361,16;False
9;483458,375;107818,640917969;77,03095;16;13;367,9035;False
10;3072843,25;366212,780371094;144,7571;25,83188;13;367,9035;False
11;572377,8125;199831,200585938;81,74069;15,81015;13;367,9431;False
12;484296,96875;174121,137597656;77,03217;17;13;367,9035;False
13;1305812,375;257845,878320313;108,3366;23;13;368,8808;False
14;1056078,5;247342,574707031;100,9711;16;13;366,1599;False
15;755624,9375;160723,383203125;89,9591;17;13;365,3337;False
16;512880,5;161041,511035156;78,59464;17;13;366,686;False
17;1021213,9375;215332,437304688;99,6709;19,84991;13;362,2518;False
18;678968,875;223742,469824219;86,44827;21,77258;13;366,0004;False
19;1460734,125;223247,178125;112,591;21,95605;13;364,3903;False
20;545928;167451,100097656;80,48423;11,9566;13;364,3903;False
21;1099883,625;252197,779199219;102,3257;18;12;362,9435;False
22;846291,875;206215,906054688;93,55693;16,81378;12;362,9435;False
23;548263,75;168295,130566406;80,53242;14,81512;12;362,498;False
24;981167,0625;205476,687011719;98,17014;23;13;364,1989;False
25;1386939,625;314188,427929687;110,6128;21,96576;13;363,7632;False
26;895031,0625;246135,215917969;95,09352;23;13;363,8662;False
27;773166,625;268838,7421875;90,5433;20;13;364,2763;False
28;535418,5;139195,044726563;79,87394;14,93115;13;366,5231;False
29;777474,125;268476,659667969;90,9203;15;13;366,5231;False
30;940436,9375;219630,159472656;96,94131;19;13;366,1968;False
31;1916576,75;273523,854394531;123,4178;23,92749;13;363,6891;False
32;626608,125;142442,009863281;83,36086;29;12;361,239;False
33;936803,0625;178812,009765625;96,42864;26;13;366,0397;False
34;860665,25;176463,765136719;93,9446;21;13;367,8456;False
35;905943,8125;221831,246484375;95,61475;20,90112;12;362,7032;False
36;1420578,5;244639,3578125;111,3906;25;11;359,603;False
37;539966,5;207123,258886719;79,9132;18,97961;11;359,8333;False
38;569360,8125;174446,141015625;81,15138;23;12;362,2327;False
39;548538,5625;124640,444628906;80,44653;17;12;360,885;False
40;627925,6875;236106,341894531;83,97797;23,74634;13;367,7868;False
41;335979,09375;162580,584082031;67,48956;17,88684;12;361,7487;False
42;526999,1875;129434,997753906;79,19546;19;11;356,3355;False
43;539437,1875;118733,462988281;79,56883;23;11;355,952;False
44;904445,125;196879,229296875;95,58228;19,73132;11;355,834;False
45;1285655,625;188920,689648437;107,3874;28,75342;11;356,044;False
46;1234145,5;229456,450976563;106,1661;24;12;357,0403;False
47;484830,9375;132092,40703125;77,11905;13,86877;11;355,9225;False
48;341262,4375;127474,300585938;67,89566;17;12;358,8808;False
