Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;3444,1005859375;1112,27934474945;50,68096;16,04137;13;361,5019;False
2;2530,14111328125;930,232249450684;35,38884;14,00326;13;361,5019;False
3;2551,73657226563;1122,41294765472;35,90877;14,02999;13;361,5019;False
4;3295,06323242188;1311,64371337891;48,75554;15,63733;13;373,8493;False
5;2856,06323242188;1411,54495544434;48,56079;13,49569;13;375,618;False
6;3618,79443359375;1420,59553833008;51,00219;17,01291;13;360,9602;False
7;3125,72387695313;1465,38242340088;49,11517;14,66276;13;360,4432;False
8;2821,291015625;1290,49653396606;48,01189;13,41843;13;360,4432;False
9;3648,15893554688;1373,26178512573;62,35569;15,24942;12;377,9294;False
