Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;9126,5751953125;2646,22744490728;294,6432;19,51268;14;298,0752;False
2;10754,6279296875;4662,02047269344;345,0829;16,16235;13;223,5038;False
3;10638,7333984375;3308,13873133659;348,2567;35,46066;14;271,569;False
4;11743,2080078125;5237,21684875488;380,2248;21,60118;12;292,8417;False
5;10257,8076171875;4290,91048431396;330,6392;18,52797;13;233,0875;False
6;12506,4150390625;6098,30769000053;405,1239;21,97293;13;223,9021;False
7;12527,349609375;7593,72321777344;404,8009;20,12061;13;223,7702;False
8;14436,271484375;8841,54383544922;467,7443;22,159;13;231,6366;False
9;13409,0283203125;7351,40357513428;434,518;22,26804;13;222,6737;False
10;13413,1904296875;6303,39386572838;433,4529;20,16458;13;247,23;False
11;12546,6279296875;7583,07579650879;404,6309;18,8494;13;250,3905;False
12;14304,3681640625;6022,68576518893;464,4853;24,12018;13;198,7611;False
13;11679,8818359375;7490,85245361328;376,2114;18,11932;13;234,4454;False
14;16315,1357421875;8758,47268066406;528,5461;22,04269;13;229,7045;False
15;14441,9658203125;9537,84982910156;465,8737;19,0051;13;229,7045;False
16;15352,28515625;8828,39881591797;496,5371;20,76981;13;243,6142;False
17;13310,8974609375;8249,15821533203;432,4605;24,65903;13;274,0994;False
18;17000,263671875;9363,00033721924;547;21,31451;11;234,0339;True
19;16265,7666015625;8610,96283284426;528,7875;25,29852;13;224,8171;False
20;14232,8955078125;8272,98442544937;463,9504;28,51501;13;254,1824;False
21;16957,8671875;8583,12265529633;547;23,42688;13;263,2066;True
22;16947,21484375;9344,25861511231;547;24,02197;13;272,0013;True
23;16251,646484375;6010,90818313649;527,9474;24,55255;11;235,0644;False
24;16986,6875;6401,05613647625;547;21,95007;12;222,5902;True
25;12473,388671875;5551,76847496033;404,5009;22,90936;13;276,0489;False
26;17028,5390625;8107,17851967812;547;20,09772;13;221,3705;True
27;12464,966796875;5891,50499022007;404,3674;23,21771;13;221,3705;False
