Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;40,0752487182617;7,5973111718893;318,805;23,82497;14;324,0571;False
2;42,6521873474121;12,9781460464001;376,2838;19,47777;10;386,0368;False
3;31,8151626586914;15,0087949991226;267,1123;19,5574;14;294,4935;False
4;41,8730583190918;17,0334624826908;376,857;20,35519;10;386,557;False
5;84,8298645019531;16,7752303600311;496,4572;22,25519;12;343,7654;False
6;65,615348815918;23,6057160615921;439,8745;22,12689;12;372,7746;False
7;173,04719543457;38,7741899907589;547;20,76955;10;385,7849;True
8;87,6099395751953;38,2511737346649;497,191;20,93874;12;342,9059;False
9;80,2530288696289;31,826809823513;466,4804;18,90939;12;343,6837;False
10;91,1810913085938;32,197912466526;527,9906;25,62704;12;342,0564;False
11;88,356559753418;36,0473298847675;495,5408;23,42572;13;341,679;False
12;71,020133972168;31,018713414669;431,6304;23,67627;14;299,34;False
13;201,310104370117;40,5105765104294;547;24,1225;14;293,2678;True
14;196,625946044922;35,8833514332771;547;25,81519;14;293,2678;True
15;196,720718383789;52,0610050797462;547;22,34921;13;297,3808;True
16;86,2333145141602;44,6313824415207;496,7821;25,11554;13;296,2535;False
17;104,155967712402;47,6921258926392;526,5019;25,09637;14;297,2131;False
18;70,0623931884766;33,9769098162651;406,6397;18,66406;14;299,8524;False
19;204,234237670898;46,4869864225388;547;23,18158;14;299,9423;True
20;62,4545516967773;34,4628623962402;406,6788;24,37872;14;298,5499;False
21;106,396133422852;39,6906857252121;527,4904;24,08063;14;298,5499;False
22;75,7895812988281;41,8789909362793;435,9456;21,28137;14;296,8756;False
23;201,224670410156;52,9638141155243;547;24,15125;14;299,5683;True
24;87,2099075317383;42,4825465679169;494,8094;23,96912;13;299,7867;False
25;101,71509552002;42,3364704370499;531,7897;28,10602;14;298,4775;False
26;185,280181884766;45,1850750923157;547;26,38171;13;299,7867;True
27;108,775596618652;44,0726762056351;528,476;23,09186;14;298,0865;False
28;65,3713455200195;33,9510579109192;432,7201;24,53973;13;297,4462;False
29;54,4828834533691;33,4918789863586;373,3826;22,74829;14;297,356;False
30;83,3812103271484;38,7113103270531;494,7632;26,72144;13;297,6023;False
