Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;52742692;3809853,95;375,0191;22,99629;12;353,3654;False
2;143824032;31870943,9;523,9343;28,87948;12;353,3654;False
3;150266272;51560864,65;531,6431;26,92332;12;353,3654;False
4;164067872;47502507,6;547;22,18391;12;379,065;True
5;147313920;43748134,05;528,1381;24,5881;12;353,3654;False
6;164067792;49322161,75;547;24,11337;13;365,0076;True
7;123078272;46992620,4;497,4239;23,84909;13;382,3945;False
8;164067712;40564235,95;547;26,95624;12;352,7317;True
9;164067808;46517804,05;547;23,79919;13;382,3945;True
10;164067776;54896574,55;547;24,76874;13;382,3945;True
11;164067920;61834046,55;547;21,24893;13;382,3945;True
12;123045216;62945061,7;497,3795;27,96426;13;382,3945;False
13;164067792;69754803,55;547;24,27988;13;382,3945;True
14;164067712;51822509,75;547;26,80499;13;372,8026;True
15;144553600;70199366,2;524,8184;21,02502;13;372,6425;False
16;219769968;89957122,45;603,4701;24,68338;13;372,6425;False
17;180687984;72608805,35;565,3396;26,15546;14;373,7255;False
18;199616992;62882308,35;584,4296;26,62891;12;370,2509;False
19;164067904;64664006,5;547;21,62555;13;372,507;True
20;164067904;70289042,75;547;21,60699;14;373,4948;True
21;164067936;84679910,8;547;21,04834;13;372,2517;True
22;164067824;71552235,9;547;23,25403;13;371,5136;True
23;164067872;84451510,45;547;22,16718;13;372,507;True
24;164067872;67696209,95;547;22,27899;14;373,5615;True
25;164067888;80029734,85;547;21,99231;12;369,2884;True
26;164067888;73646394,95;547;21,86432;14;372,8233;True
27;191560416;85004152,95;576,4587;25,29102;13;372,2517;False
28;164067952;81548964,3;547;20,91559;14;372,8233;True
29;164067984;75658255,1;547;20,37964;14;372,8233;True
30;217021536;67929574,3;600,944;27,5882;14;372,8239;False
