Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;5,49664554422895E+17;2,78116800332398E+16;81,91547;15,99662;9;311,5885;False
2;8,31551298238153E+17;1,66811549374242E+17;94,03648;18,84552;9;311,5378;False
3;3,30396062961369E+17;7,40601438324263E+16;69,13187;11,73871;9;311,5532;False
4;3,32806673485791E+17;8,83722915138902E+16;69,29959;14,72298;9;311,5842;False
5;8,20785636293214E+17;1,04610879537765E+17;93,6289;16,74782;8;310,0975;False
6;8,69626286396408E+17;2,26453288257375E+17;95,45036;13,71829;9;311,5842;False
7;6,00285726168318E+17;8,40713868970432E+16;84,35665;19,77876;8;310,0482;False
8;2,91416176733454E+17;1,25188636421181E+17;66,29863;15,77359;8;309,2388;False
9;8,73148915493372E+17;1,60368519085346E+17;95,57906;14,74274;7;306,4222;False
10;8,50227327869649E+17;1,66183535573019E+17;94,73527;16,74875;7;306,4222;False
11;6,37750141775774E+17;1,68654668401371E+17;86,07629;20,73474;8;310,6086;False
12;4,85004165378998E+17;1,57808882949833E+17;78,5685;17,75992;9;311,5667;False
13;2,56583253228519E+17;6,33883240420943E+16;63,54423;11,70975;8;310,6086;False
14;7,74263169018233E+17;1,4340714137525E+17;91,82541;12,78046;9;310,3493;False
15;8,3852584409052E+17;1,69376332550819E+17;94,29865;15,99066;9;311,1298;False
16;2,78040459726763E+18;3,18190169539111E+17;140,6164;25,7821;8;307,9093;False
17;1,44050701718887E+18;2,14648247451386E+17;112,9376;13,72821;9;310,5106;False
18;8,93472494579614E+17;1,989459643558E+17;96,31496;10,72711;9;310,3444;False
19;4,81307160609817E+17;1,45943321638443E+17;78,36836;14,7583;9;313,0638;False
20;8,55325832007123E+17;1,5128416014859E+17;94,92426;14,95172;9;313,0614;False
21;8,10301655483417E+17;2,69041754714853E+17;93,22855;13,78632;9;309,5752;False
22;5,87623269226512E+17;1,27192197691448E+17;83,75929;12,75452;9;312,0256;False
23;1,0765335527424E+18;2,33801889821961E+17;102,4887;19,71313;9;313,6841;False
24;5,70189344137019E+17;2,23272905159475E+17;82,92262;13,76953;9;312,0256;False
25;1,39357312640667E+18;1,85680949015138E+17;111,6974;15,72864;9;311,9076;False
26;7,14421039213733E+18;6,30324265811773E+17;192,5978;26,73212;9;311,9076;False
27;8,41608393658466E+17;2,60316796683708E+17;94,41406;11,78784;9;311,9076;False
28;8,42623792646717E+17;1,83283069060592E+17;94,45202;14,724;9;312,3457;False
29;9,52887422885036E+17;3,17555930243935E+17;98,40425;14,73407;9;313,2545;False
30;8,63183698013454E+17;2,54176628600321E+17;95,21406;11,74957;9;313,2545;False
31;9,73649157354947E+17;1,48723764676015E+17;99,11381;13,75195;9;313,2545;False
32;1,36647703672966E+18;2,44812192995816E+17;110,9688;19,72766;9;313,2545;False
33;1,32873973608009E+18;2,67640496285391E+17;109,9377;12,79211;9;311,8961;False
34;2,03811124065547E+18;3,89775200529206E+17;126,7874;19,77539;9;310,9581;False
35;8,37588991464178E+17;2,1105590342674E+17;94,26352;12;9;313,2545;False
36;1,33712571126514E+18;3,76496870893447E+17;110,1685;15,96326;9;310,7142;False
37;1,8083156469125E+18;3,08481957917675E+17;121,8311;25,82849;10;315,6017;False
38;6,38916586173891E+17;1,65790161655604E+17;86,12873;14,7373;10;316,8195;False
39;6,33185821618759E+18;4,67160390492697E+17;185,0023;16,73584;10;315,6422;False
40;1,09320056847152E+18;2,198815517916E+17;103,0149;12,69556;10;316,2317;False
41;1,93425467083063E+18;2,99793585225375E+17;124,5961;17,75024;10;315,3819;False
42;1,51043059659624E+18;2,77477571228674E+17;114,7361;20,74219;10;314,5122;False
43;1,90979246125797E+18;3,4987755094902E+17;124,0686;15,73047;10;315,3819;False
44;1,02292198424733E+18;1,20039918005335E+17;100,7583;14,79846;10;315,5375;False
45;8,82355195072217E+17;2,37755787237759E+17;95,91381;14,72925;10;315,7061;False
46;3,70477721687844E+18;4,97936132162873E+17;154,7346;16,72046;9;313,3594;False
47;1,21848290906997E+18;3,27983550826755E+17;106,8087;26,73071;10;313,6664;False
48;2,21811984838112E+18;3,92223879216458E+17;130,4152;17,73865;10;313,7723;False
49;1,36301756083182E+18;2,61496429414038E+17;110,875;18,75024;9;313,1539;False
50;5,75135634633523E+17;1,38255537731366E+17;83,16171;12,75049;9;312,7158;False
51;1,36909744781656E+18;4,15495699083926E+17;111,0397;16,71936;9;311,9651;False
52;9,12730715618017E+17;2,55861804020641E+17;97,00204;13,70776;9;312,9726;False
53;1,40558845203605E+18;3,7891491597538E+17;112,0175;15,79016;9;311,9651;False
54;2,38396440987881E+18;3,23940929846051E+17;133,5877;19,95044;9;311,9651;False
55;1,40569964014941E+18;3,75700501398605E+17;112,0205;16,73071;9;311,9651;False
56;7,43246839351869E+17;2,66573123496702E+17;90,58251;17,74731;9;311,9651;False
57;1,76623651228379E+18;4,07181933408997E+17;120,8787;20,73035;9;311,9651;False
58;1,94000951469041E+18;2,46951800363244E+17;124,7196;16,93433;9;311,9651;False
59;8,17655326688936E+17;2,4758434941589E+17;93,50972;14,75134;9;309,9985;False
60;8,09493651875955E+17;2,34487534098439E+17;93,19755;15,68945;9;311,6509;False
61;6,23210887204831E+17;1,46335021127854E+17;85,41714;17,75;9;311,4328;False
62;1,26300529597455E+18;2,49406608628797E+17;108,094;15,93994;9;312,3939;False
63;5,82927323783758E+17;1,56037646410407E+17;83,53558;14,66724;8;310,2108;False
64;8,66895924146733E+17;1,33911313068851E+17;95,35036;17,75;9;312,0479;False
65;9,61870432883966E+17;2,0088126599582E+17;98,71251;14,73633;9;310,0605;False
66;1,4038762375537E+18;1,87324896961049E+17;111,972;14,68237;10;313,0635;False
67;9,85627649344799E+17;1,84898981717869E+17;99,51861;20,78833;9;310,3239;False
68;2,85243381016166E+17;7,20446302227268E+16;65,82717;13,78516;10;315,3556;False
69;7,58495828678541E+17;1,86748330909051E+17;91,19781;17,73462;10;312,3145;False
70;5,7340613720277E+17;1,7097979159013E+17;83,07827;16,67407;9;315,206;False
71;8,82288880777167E+17;1,42735733276158E+17;95,91141;15,95166;9;314,2384;False
72;8,95320773625905E+17;2,0886198016715E+17;96,38132;15,72144;9;312,4982;False
73;8,11369831029801E+17;2,01105570152212E+17;93,26949;17,72778;10;313,5647;False
74;1,3617084548E+18;2,35877681572977E+17;110,8395;19,71362;9;313,7899;False
75;1,29741836065649E+18;2,27929199478414E+17;109,067;14,73706;9;312,4977;False
76;7,00079531809047E+17;1,4186114237344E+17;88,79376;19,77075;10;314,3328;False
77;3,18015768191042E+17;1,24374099155118E+17;68,25737;17,72339;10;311,8881;False
78;4,70013286406947E+17;1,28514037994278E+17;77,75053;17,73926;10;313,7023;False
79;8,47575718140314E+17;1,29768322743387E+17;94,63668;12,71997;10;313,8859;False
80;9,42316374498214E+17;2,26660471305033E+17;98,03901;17,72461;9;310,9443;False
81;1,34843652481902E+18;1,95544897146756E+17;110,4783;26,74072;10;316,662;False
82;8,75729125686379E+17;1,59895794700426E+17;95,67312;12,80737;11;317,6407;False
83;7,58760055066591E+17;1,56587911630987E+17;91,2084;16,67725;10;317,8462;False
84;5,19949187530359E+17;1,37684846357198E+17;80,4119;16,99243;9;310,1503;False
85;1,30697875169896E+18;2,99084300063356E+17;109,3342;18,77002;10;312,6666;False
86;3,6574003603492E+18;3,27032973556202E+17;154,0722;28,81665;10;309,9584;False
87;7,67260860497265E+17;1,23921507642769E+17;91,54775;15,7688;9;309,058;False
88;2,86916322317566E+17;1,07680291362247E+17;65,95561;17,68701;10;318,9326;False
89;8,66868092758655E+17;1,97729591276182E+17;95,34933;22;10;315,1623;False
90;1,38771341662539E+18;1,84001820670752E+17;111,5407;17,7832;10;315,8991;False
91;8,49789241205457E+17;1,90482023586988E+17;94,71899;18,78149;10;311,274;False
92;1,279737801365E+18;2,68414134046111E+17;108,5693;20,79126;11;318,357;False
93;5,71484328316371E+17;1,64048252575731E+17;82,98535;17,98804;10;311,5267;False
94;3,10414809948488E+17;1,09503645983897E+17;67,70917;16,82935;10;311,5267;False
95;6,03195377532797E+17;2,57426403170766E+17;84,49273;19,90063;10;314,1635;False
96;1,32291988359532E+18;2,25028670475993E+17;109,777;19,79126;11;318,6896;False
97;1,88067835542713E+18;3,14421508032692E+17;123,435;22,77417;11;316,6233;False
98;8,61847860105183E+17;1,60823808408352E+17;95,16492;15,7583;10;314,7002;False
99;8,20532611179872E+17;2,00449634876785E+17;93,61928;15,87817;11;315,9236;False
100;8,97169258830627E+17;1,61933769412968E+17;96,44761;20,7583;11;315,738;False
101;1,09507626658903E+18;1,77437962554835E+17;103,0738;20,91968;9;308,7901;False
102;6,32068003122381E+17;2,15810436608728E+17;85,81989;18,86865;11;316,0486;False
103;2,81185200421156E+18;2,55175849310316E+17;141,1446;28,7627;11;316,8636;False
104;6,86503586862989E+17;1,72620057405293E+17;88,21605;14,75488;9;310,6595;False
105;5,2466014817878E+17;1,4066184991707E+17;80,65402;15;10;312,4889;False
106;5,10617563625947E+17;2,01932199877935E+17;79,92793;15,86182;10;311,1111;False
107;1,33830480004697E+18;2,02219564963448E+17;110,2009;19,90771;11;318,2147;False
108;9,20779827928105E+17;1,69882095277677E+17;97,28635;17,82422;11;317,9731;False
109;9,48781502869537E+17;1,51860011277076E+17;98,26271;17,81323;10;313,8129;False
110;1,04352745062715E+18;1,91963645519856E+17;101,4304;16,95142;10;314,142;False
111;9,82006957554532E+17;2,16368941739331E+17;99,3966;18,74805;9;310,4313;False
112;1,32351815535978E+18;2,41192018264886E+17;109,7935;20,74048;10;316,4139;False
113;5,73557801087926E+17;1,21426358551813E+17;83,08559;11,74438;10;315,6372;False
114;5,07968530876989E+17;8,9757892817086E+16;79,78947;13,70825;10;316,4139;False
115;8,43765154435826E+17;2,06138400062685E+17;94,49464;12,76855;11;319,0272;False
116;1,99218436508536E+18;2,34437819389444E+17;125,8278;19,72583;11;318,2916;False
117;5,96675548457992E+17;1,32393261717887E+17;84,1872;14,90698;11;319,0273;False
118;5,64319085916062E+17;1,24434074549879E+17;82,63707;16,72705;11;320,582;False
119;6,16710024705606E+17;9,32920124724216E+16;85,11909;15,7334;11;319,1948;False
120;9,07094412855607E+17;1,03913492057371E+17;96,80196;18,74854;11;317,0317;False
121;2,93327608978866E+17;5,31863343756671E+16;66,44327;13,75391;11;317,0317;False
122;9,04039419797832E+17;2,17365778036634E+17;96,69317;12,81396;11;317,0317;False
123;2,73012557979687E+18;3,65623451758205E+17;139,7636;15,77832;11;316,9507;False
124;4,95282193917018E+17;1,71984034957833E+17;79,11963;13,72705;11;315,5522;False
125;9,03806873088557E+17;2,41834276001782E+17;96,68488;14,74072;11;315,5522;False
126;7,56877003965071E+17;2,57527759110773E+17;91,13288;16,96924;11;314,9272;False
127;7,72327203919626E+17;2,62353867879376E+17;91,74881;22,73145;11;315,3691;False
128;6,3171705275469E+17;1,9224787824893E+17;85,804;13,75049;11;319,1559;False
129;9,43534770820743E+17;2,56546239950304E+17;98,08125;17,72314;11;316,0471;False
130;3,35808408949096E+17;9,65125275176859E+16;69,50732;12;11;317,8329;False
131;4,71741203289735E+17;1,5185182937999E+17;77,8457;10,77539;11;318,1746;False
132;1,04405528492795E+18;2,31851645393175E+17;101,4475;20,81982;11;318,4649;False
133;1,40879778903858E+18;2,06104962732235E+17;112,1027;14,75439;11;320,5496;False
134;5,50087454082728E+17;1,40361794748154E+17;81,93647;14,77686;11;317,4022;False
135;9,95184054657614E+17;2,33575239802421E+17;99,83921;29,71045;11;320,2565;False
136;6,45576259383853E+17;2,23097544845872E+17;86,42695;20,70801;11;320,2565;False
137;2,77997685288468E+17;1,0323928318319E+17;65,26501;9,727539;11;318,0029;False
138;8,12037028429431E+17;2,99929571840701E+17;93,29505;17,7793;11;318,0029;False
139;5,4725146999731E+17;1,53153446446996E+17;81,79542;17,73145;11;319,9747;False
140;9,33385110265266E+17;1,28428463745443E+17;97,72829;16,72559;11;319,8643;False
141;8,58955182451458E+17;2,38927972111326E+17;95,05833;23,78564;11;319,576;False
