Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;2,09045413271962E+15;189338316342811;20,55507;6,122978;12;280,1641;False
2;1,31467230943642E+16;3,78147116131945E+15;38,47861;11,00518;11;278,7009;False
3;1,27726503407387E+17;1,40207246734886E+16;82,91151;16,76496;13;299,7403;False
4;7,49373008904192E+16;1,39705592564582E+16;69,28889;14,67257;13;299,9998;False
5;5,76331138780365E+16;1,20556131266069E+16;63,34779;15,03952;11;283,9152;False
6;2,24102803570688E+17;2,74177081520747E+16;99,91393;15,62492;13;281,1518;False
7;2,00185333290107E+17;2,38273093005036E+16;96,61256;21,0283;14;276,0122;False
8;1,25372698120421E+17;4,08983796752644E+16;82,53536;18,03729;14;292,1968;False
9;5,95663001328026E+16;1,20891109782061E+16;64,21443;15,19504;13;299,7202;False
10;2,01955014434882E+17;2,06811957498547E+16;96,86299;21,78862;13;299,5145;False
11;6,84056821303869E+16;1,10268093480343E+16;67,04323;12,38358;13;302,0528;False
12;6,81376589912474E+16;1,84064545913914E+16;67,25258;16,98944;13;300,1937;False
13;1,3537357241883E+17;5,27396443200628E+16;83,98433;10,87334;13;300,5488;False
14;6,33077878782689E+16;1,66635865019482E+16;65,6264;17,03836;13;297,9458;False
15;1,22106916657693E+17;3,16806891122733E+16;81,68132;16,83646;13;299,2879;False
16;1,26405199668445E+17;2,16808577706512E+16;82,41721;13,87665;13;299,2879;False
