txt

EXPERIENCIA 1 DO ENUNCIADO

1ª tentativa

Generation;BestFitness;         AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
25;227,377349853516;34,5451664663851;291,7899;34,13959;12;278,3395;False
26;168,619903564453;52,9704675972462;220,2869;13,6189;11;273,0856;False
27;187,183441162109;61,9352513790131;239,0913;31,4599;13;287,9564;False
28;307,812133789063;60,3643088459969;401,9033;25,5387;12;375,7685;False
29;167,421691894531;51,2369148425758;218,1915;15,11224;12;315,3215;False
30;401,609588623047;69,0076735831797;526,3026;27,53052;13;375,5262;False






