Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;+Infinito;+Infinito;0;0;8;346,7223;False
2;+Infinito;+Infinito;0;0;8;346,7223;False
3;+Infinito;+Infinito;0;0;8;346,7223;False
4;+Infinito;+Infinito;0;0;8;346,7223;False
5;+Infinito;+Infinito;0;0;8;346,7223;False
6;+Infinito;+Infinito;0;0;8;346,7223;False
7;+Infinito;+Infinito;0;0;8;346,7223;False
8;+Infinito;+Infinito;0;0;8;346,7223;False
9;+Infinito;+Infinito;0;0;8;346,7223;False
10;+Infinito;+Infinito;0;0;8;346,7223;False
11;+Infinito;+Infinito;0;0;8;346,7223;False
12;+Infinito;+Infinito;0;0;8;346,7223;False
13;+Infinito;+Infinito;0;0;8;346,7223;False
14;+Infinito;+Infinito;0;0;8;346,7223;False
15;+Infinito;+Infinito;0;0;8;346,7223;False
16;+Infinito;+Infinito;0;0;8;346,7223;False
17;+Infinito;+Infinito;0;0;8;346,7223;False
18;+Infinito;+Infinito;0;0;8;346,7223;False
19;+Infinito;+Infinito;0;0;8;346,7223;False
