Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;245,704391479492;44,0204283207655;319,2729;24,9989;12;220,2567;False
2;188,044738769531;40,6686399236321;242,5251;24,60382;12;228,3513;False
3;204,162460327148;93,5854595988989;265,5121;20,11369;13;284,3168;False
4;286,047241210938;86,4332578979433;375,0099;19,15936;12;303,1096;False
5;352,765319824219;97,2457272201777;462,8644;22,46819;12;303,1096;False
6;289,588195800781;104,952650799602;375,1647;32,85857;9;322,7352;False
7;264,70751953125;86,5905457250774;344,0952;26,54431;14;340,0591;False
8;307,787872314453;81,6793652549386;402,1706;24,63965;14;340,0591;False
9;287,954406738281;77,7489166045561;375,4898;25,34818;12;400,2712;False
10;224,318710327148;61,8514503911138;293,0304;18,18356;13;301,6217;False
11;265,691223144531;83,4499085597694;347,9066;19,04492;12;275,8663;False
12;263,565856933594;98,9933542191982;345,378;18,12952;12;275,8663;False
13;226,661422729492;78,2152126461267;296,3361;17,63733;14;357,5276;False
14;284,928039550781;112,363283388689;373,0618;20,52692;12;349,3812;False
15;265,719116210938;58,6557417497039;348,5893;17,10852;14;295,0439;False
16;308,009338378906;109,890980756283;403,3796;21,89862;14;299,5002;False
17;315,278015136719;67,0009122766554;412,504;23,60004;13;311,669;False
18;266,519409179688;95,238528111577;349,049;18,93054;11;331,8482;False
19;331,357604980469;110,431470805407;435,0475;20,28784;11;331,8482;False
20;285,346252441406;75,9230770558119;374,1565;18,91559;11;331,8482;False
21;285,747436523438;75,5124047577381;373,1301;23,59961;13;268,6714;False
22;227,219833374023;63,8461544007063;296,9766;17,94965;11;327,4391;False
23;415,239959716797;76,737370191887;547;19,95984;12;223,5335;True
24;289,879058837891;83,2896893285215;378,9953;22,5304;11;327,4391;False
25;246,172973632813;92,5788890779018;321,9266;18,91205;12;359,9123;False
26;222,782791137695;71,5482028156519;290,5449;19,49658;12;320,5139;False
27;248,034454345703;97,430118471384;323,0317;23,04266;10;397,7301;False
28;185,827667236328;37,0484931580722;242,0981;17,01648;13;370,3672;False
29;207,98095703125;67,7669770758599;269,6496;22,97504;13;370,3672;False
30;261,848815917969;71,2655431799591;343,5197;16,83636;13;349,5523;False
