Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;47162;8077,5;34,33273;6,281159;13;266,6977;False
2;537235;47360,9;80,96812;14,0095;14;271,2006;False
3;316852;59694,95;67,70075;15,02267;14;268,2063;False
4;903948;116841,05;96,45846;14,53431;14;271,6258;False
5;954947;138481;98,25397;16,30784;14;271,6258;False
6;549241;170524,75;81,56141;17,84697;13;266,641;False
7;846087;197671,75;94,34297;20,21662;14;270,8357;False
8;550806;203058,85;81,64393;18,97914;13;267,6018;False
9;384034;115974,65;72,2818;10,34505;14;273,2144;False
10;1887517;260605,95;123,4313;11,68015;14;273,8633;False
11;754890;171741,85;90,8004;24,15321;14;271,8758;False
12;1209476;183696,85;106,355;14,76677;14;272,9138;False
13;333245;110025,85;68,88679;10,72153;14;272,9138;False
14;506374;141640,55;79,37781;20,03766;14;272,5341;False
15;894855;208169;96,13365;19,14838;14;270,5516;False
16;573613;147541,15;82,77764;16,88043;14;270,5516;False
17;1368228;266048,55;110,8366;16,84988;14;269,4501;False
18;1247670;178759,55;107,4692;14,65768;14;273,3671;False
19;1314939;225820,5;109,3779;22,42685;14;270,7828;False
20;511390;104172;79,64081;17,03549;14;272,5976;False
21;775489;158737,45;91,61987;13,65143;14;272,5976;False
22;890769;256763,8;95,98161;18,11133;14;269,068;False
23;1359405;261593,3;110,6111;22,27982;14;275,2827;False
24;548666;159016,1;81,567;18,35217;14;276,4954;False
25;1429568;261608,85;112,4783;18,63763;14;269,5943;False
26;833606;237986,6;93,87066;19,11163;14;270,0761;False
27;1993054;296743,95;125,7031;16,9165;14;268,7243;False
28;1260301;256896,2;107,8319;13,00269;14;275,0485;False
29;1434210;163682,4;112,5982;15,85187;14;269,9459;False
30;4565030;395162,8;165,8061;22,80133;14;269,1674;False
