Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1190316;516863,7;1086,611;54,58281;13;235,3063;False
2;1189495;597647,35;1086,233;57,42458;13;235,3063;False
3;1194366;688481,35;1088,473;54,39099;13;235,3063;False
4;1191095;693325,6;1086,969;54,76764;13;235,3063;False
5;1193257;923972,4;1087,999;53,94391;13;235,9498;False
6;1464751;955601,95;1206,249;60,27899;13;234,3306;False
7;1195592;759779,8;1089,036;55,61957;13;235,3063;False
8;1459000;1070285,2;1203,913;64,56775;13;235,3063;False
9;1421987;1023608,85;1188,462;65,39575;13;235,7029;False
10;1458285;1047849,3;1203,616;61,55505;13;235,3063;False
11;2185659;1069388,05;1475,206;88,84833;13;236,6851;False
12;2177611;1210956,4;1472,429;101,0513;13;235,55;False
13;2188132;1308358,75;1476,044;90,61304;13;236,6851;False
14;3472064;1295696,55;1750;124,3853;13;235,55;True
15;3472111;1536232,75;1750;118,6278;13;235,1638;True
16;3472136;1876645,6;1750;119,1887;13;234,9597;True
17;3472136;1989763,55;1750;124,0679;13;234,9597;True
18;3472136;2329609,95;1750;117,6847;13;234,9597;True
19;3472167;2034864,05;1750;117,6804;13;234,7133;True
20;3472167;2126900,6;1750;116,4639;13;234,7133;True
21;3472148;2530510,25;1750;123,8752;13;234,8661;True
22;3472148;2490544,1;1750;116,2827;13;234,8661;True
23;3472148;2302214,3;1750;121,2881;13;234,8661;True
24;3472261;2574589,7;1750;119,9634;12;233,9507;True
25;3472261;2376141,5;1750;118,5261;12;233,9507;True
26;3472376;2866592,3;1750;119,7881;12;233,0424;True
27;3472376;2430629,3;1750;117,425;12;233,0424;True
28;3472307;2654637,55;1750;120,769;12;233,5882;True
29;3472503;2470185,25;1750;117,8811;12;232,0526;True
30;3472503;2849957,15;1750;117,9646;12;232,0526;True
