Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;18043,611328125;4323,79836279154;309,1123;18,63962;10;349,6477;False
2;20945,052734375;9574,8479309082;376,5439;21,98719;14;323,187;False
3;19846,90234375;7669,22843490243;346,2061;19,787;14;324,0519;False
4;20119,947265625;7019,77393216491;346,8821;19,02985;12;389,0968;False
5;18102,541015625;7605,43777426481;319,9993;20,7094;13;317,3118;False
6;20071,08203125;9420,29377565384;351,7648;20,10521;13;348,3077;False
7;24025,865234375;9004,44769554138;436,6013;22,87386;13;318,0622;False
8;21466,447265625;11192,8735836029;375,4341;19,96234;13;348,5212;False
9;19265,99609375;11125,9268330336;344,6429;21,5983;12;347,8058;False
10;19777,3828125;11240,6473280668;345,7039;19,92554;13;313,5085;False
11;18393,541015625;9083,54708957672;322,136;20,05707;13;314,4972;False
12;19057,2421875;10369,421529609;344,7586;22,49728;13;401,4039;False
13;23806,677734375;9013,78149280548;406,7566;18,47748;13;319,1876;False
14;17673,3828125;7803,16843306422;292,4749;16,72311;13;319,1876;False
15;26580,599609375;11377,9194712937;493,8452;24,90448;12;302,2477;False
