Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;5601997,5;2295829,99799404;929,272;47,09785;12;312,1569;False
2;5625553;3073804,80071983;933,448;50,18469;12;277,8724;False
3;5799204,5;2974324,79141865;962,2451;49,96338;12;324,6817;False
4;6486699,5;2742276,8738554;1076,229;53,46368;11;409,5608;False
5;6409053,5;2841776,59317627;1063,355;53,56219;11;409,5608;False
6;6427034,5;3211481,40863419;1067,709;63,41125;13;311,6565;False
7;6440157,5;3109778,47992573;1070,174;69,12537;13;311,6565;False
8;6413851,5;2355543,22170296;1065,67;66,33325;13;311,6565;False
9;5679048;2419489,81203461;942,9718;54,84888;13;311,6565;False
10;6430524,5;2808814,07315102;1066,911;58,86987;10;304,0222;False
11;6457745;3567035,42035503;1071,34;57,82483;10;304,0222;False
