Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;5596657,5;1748740,50418434;929,9648;68,05244;13;359,9584;False
2;5692982,5;4307126,39230862;944,6603;46,56535;13;346,8224;False
3;5689779,5;2550294,09226589;944,1714;55,63602;11;269,8677;False
4;5768162;3923456,4538929;958,2926;64,25607;13;351,6142;False
5;5711997;2586628,13695011;948,1037;59,1665;11;269,8677;False
6;6523142,5;3559604,32380829;1084,091;71,94574;13;343,6998;False
7;6537843,5;4287665,565625;1086,549;72,29834;13;343,6998;False
8;7280238;3031579,73662205;1209,342;72,93323;11;270,5607;False
9;7263560,5;2859068,57034683;1208,259;126,0563;11;270,5607;False
10;8147481,5;4082852,39481812;1353,933;82,6864;11;270,5607;False
11;8172086,5;3492664,9920042;1358,146;85,35645;11;270,5607;False
12;8143489,5;3952316,88450928;1353,228;81,81763;11;270,5607;False
13;10545449;4027416,8533102;1750;91,86609;12;361,6635;True
14;10487557;3546366,47736645;1745,664;172,0978;12;361,6635;False
15;8144145;4430734,67957897;1353,543;86,2666;11;270,5607;False
16;6554576;4104770,32507248;1088,199;62,52783;11;270,5607;False
17;8162337,5;3838643,92151623;1356,626;87,65308;11;270,5607;False
18;5834161,5;2954418,47784882;968,3754;59,0769;11;270,5607;False
19;10541580;3255273,29218826;1750;118,3203;11;270,5607;True
20;8128161;3742300,75480652;1350,922;87,08789;11;270,5607;False
21;8134054,5;3798890,01289368;1351,822;85,28174;11;270,5607;False
22;6555977;3367520,59751587;1088,228;59,64087;11;270,5607;False
23;8147056;2895829,26514473;1353,887;83,19995;11;270,5607;False
24;8136669,5;3561031,31268597;1352,303;86,33301;11;270,5607;False
25;8136085;3961449,36069374;1352,179;85,72266;11;270,5607;False
