Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;45885;5583,35;35,79717;8,397234;11;384,7759;False
2;268498;35521,9;64,51186;15,9812;11;384,7759;False
3;582883;92864,2;83,53236;16,08538;11;384,7759;False
4;818096;142095,7;93,52566;18,22173;10;348,9312;False
5;148511;59582,1;52,95457;11,59485;11;384,5654;False
6;498831;105569,4;79,3069;14,86449;11;384,7759;False
7;510264;171590,35;79,90894;22,24512;11;385,002;False
