Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;134999;13069,1;50,93042;10,74634;11;354,3203;False
2;323354;47671,5;68,42644;14,72737;11;351,0914;False
3;795099;102475,7;92,47948;14,18755;12;316,3419;False
4;1316788;262689,25;109,4942;22,1803;12;315,9939;False
5;975528;122797,6;99,0357;14,85399;12;316,6711;False
6;918081;221937,9;97,04808;20,04039;12;316,2151;False
7;2025717;336224,35;126,4425;18,79507;12;316,762;False
8;948181;163852,65;98,10477;22,47087;12;317,7789;False
9;292484;87173,65;66,07496;13,73668;12;317,1469;False
10;570458;209228,05;82,7356;14,51993;12;315,8075;False
11;773915;140156,8;91,65005;19,49084;13;315,2168;False
12;873988;122701,75;95,46159;20,04207;12;315,9764;False
13;1223565;204753,05;106,8333;15,36676;12;315,9764;False
14;2618825;287063,95;137,7637;21,12228;12;315,2016;False
15;630514;155039,2;85,56451;17,45087;12;315,6787;False
16;550333;188314,9;81,74058;13,17905;12;315,1918;False
17;1072213;301535,3;102,2228;22,66885;12;316,113;False
18;1382835;138140;111,2952;16,74774;12;314,4377;False
19;1456910;253055,5;113,2505;14,74319;12;314,3484;False
20;1300778;190167,6;109,0469;22,63852;12;315,5367;False
21;1869176;210420,75;123,0887;21,09003;12;312,1918;False
22;946488;205886,05;98,03596;18,66818;12;311,4626;False
23;521860;119220,85;80,30032;17,03165;12;315,3674;False
24;519322;146164,55;80,16627;14,45758;12;315,3674;False
25;2129286;390372,25;128,5674;23,87128;12;315,3674;False
26;493893;125363;78,82667;16,51019;12;314,9061;False
27;789700;217867,55;92,27505;21,77136;12;316,5383;False
28;910151;210965;96,76261;17,10022;12;314,6823;False
29;557840;168498,75;82,11456;14,34271;12;314,8233;False
30;886505;174709,55;95,91933;18,10883;12;318,4066;False
