Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;5595566,5;2515574,51920719;929,5066;73,19106;11;366,184;False
2;5667246,5;3087341,80931835;941,165;57,35245;13;336,7914;False
3;5666750;2272898,44303856;938,8016;44,31839;10;423,8796;False
4;5755006;3023890,06292744;954,3685;53,11703;10;423,8796;False
5;5657035;2917179,95416718;936,9943;42,80743;10;423,8796;False
6;5693821,5;2036960,20609837;944,4629;40,005;14;319,0824;False
7;5794909;2601905,77268391;962,3572;53,1236;14;319,0824;False
8;6412115;2658843,43593884;1064,831;52,75598;14;319,0824;False
9;6499871;2692983,56051025;1079,194;50,04919;14;319,0824;False
